,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Preferred Shares Number,48789180.0,48792902.0,48792902.0,48792902.0,
Ordinary Shares Number,190846580.0,190390703.0,191866880.0,191723608.0,
Share Issued,190846580.0,190390703.0,191866880.0,191723608.0,
Net Debt,7508929000.0,7254450000.0,7499354000.0,6855722000.0,
Total Debt,8992635000.0,8984311000.0,9125012000.0,8986153000.0,
Tangible Book Value,3857663000.0,4199523000.0,4517631000.0,4898992000.0,
Invested Capital,12218754000.0,12578057000.0,13046312000.0,13669834000.0,
Working Capital,738055000.0,1014550000.0,1247097000.0,1486857000.0,
Net Tangible Assets,5040027000.0,5381982000.0,5700090000.0,6081451000.0,
Capital Lease Obligations,749759000.0,732859000.0,735969000.0,370206000.0,
Common Stock Equity,3975878000.0,4326605000.0,4657269000.0,5053887000.0,
Preferred Stock Equity,1182364000.0,1182459000.0,1182459000.0,1182459000.0,
Total Capitalization,12826118000.0,13185516000.0,13653771000.0,14277293000.0,
Total Equity Gross Minority Interest,6171869000.0,6343734000.0,6513112000.0,7203921000.0,
Minority Interest,1013627000.0,834670000.0,673384000.0,967575000.0,
Stockholders Equity,5158242000.0,5509064000.0,5839728000.0,6236346000.0,
Gains Losses Not Affecting Retained Earnings,57700000.0,65115000.0,174967000.0,-17534000.0,
Other Equity Adjustments,57700000.0,65115000.0,174967000.0,-17534000.0,
Retained Earnings,-4142249000.0,-4009395000.0,-3894580000.0,-3079320000.0,
Additional Paid In Capital,8052793000.0,8263291000.0,8369228000.0,8143093000.0,
Capital Stock,1189998000.0,1190053000.0,1190113000.0,1190107000.0,
Common Stock,7634000.0,7594000.0,7654000.0,7648000.0,
Preferred Stock,1182364000.0,1182459000.0,1182459000.0,1182459000.0,
Total Liabilities Net Minority Interest,9826739000.0,9843931000.0,9980263000.0,10062667000.0,
Total Non Current Liabilities Net Minority Interest,8849302000.0,8825688000.0,8914500000.0,8826052000.0,
Other Non Current Liabilities,317087000.0,311132000.0,268166000.0,304725000.0,
Preferred Securities Outside Stock Equity,,,,688683000.0,606267000.0
Non Current Deferred Liabilities,114580000.0,105245000.0,96322000.0,110174000.0,
Non Current Deferred Revenue,,,39882000.0,48118000.0,40110000.0
Long Term Debt And Capital Lease Obligation,8417635000.0,8409311000.0,8550012000.0,8411153000.0,
Long Term Capital Lease Obligation,749759000.0,732859000.0,735969000.0,370206000.0,
Long Term Debt,7667876000.0,7676452000.0,7814043000.0,8040947000.0,
Current Liabilities,977437000.0,1018243000.0,1065763000.0,1236615000.0,
Current Deferred Liabilities,28424000.0,32199000.0,39882000.0,48118000.0,
Current Deferred Revenue,28424000.0,32199000.0,39882000.0,48118000.0,
Current Debt And Capital Lease Obligation,575000000.0,575000000.0,575000000.0,575000000.0,
Current Debt,575000000.0,575000000.0,575000000.0,575000000.0,
Line Of Credit,575000000.0,575000000.0,575000000.0,575000000.0,
Payables And Accrued Expenses,374013000.0,411044000.0,450881000.0,613497000.0,
Payables,,,,613497000.0,427202000.0
Dividends Payable,,,,,0.0
Accounts Payable,,,,613497000.0,427202000.0
Total Assets,15998608000.0,16187665000.0,16493375000.0,17266588000.0,
Total Non Current Assets,14283116000.0,14154872000.0,14180515000.0,14543116000.0,
Other Non Current Assets,373454000.0,333801000.0,474105000.0,512714000.0,
Non Current Deferred Assets,354882000.0,355010000.0,373555000.0,391693000.0,
Investments And Advances,2691478000.0,2610558000.0,2665073000.0,3305119000.0,
Investmentin Financial Assets,,,0.0,7730000.0,3739000.0
Available For Sale Securities,,,471962000.0,7730000.0,3739000.0
Long Term Equity Investment,2691478000.0,2610558000.0,2665073000.0,3297389000.0,
Investment Properties,10066283000.0,10048377000.0,9843764000.0,9841498000.0,
Goodwill And Other Intangible Assets,118215000.0,127082000.0,139638000.0,154895000.0,
Other Intangible Assets,,127082000.0,139638000.0,154895000.0,23856000.0
Net PPE,678804000.0,680044000.0,684380000.0,337197000.0,
Gross PPE,678804000.0,680044000.0,684380000.0,337197000.0,
Other Properties,678804000.0,680044000.0,684380000.0,337197000.0,
Current Assets,1715492000.0,2032793000.0,2312860000.0,2723472000.0,
Assets Held For Sale Current,,35941000.0,43599000.0,57142000.0,128215000.0
Restricted Cash,215672000.0,264582000.0,131468000.0,170126000.0,
Receivables,765873000.0,771209000.0,776142000.0,735979000.0,
Accounts Receivable,765873000.0,771209000.0,776142000.0,735979000.0,
Cash Cash Equivalents And Short Term Investments,733947000.0,997002000.0,1361651000.0,1760225000.0,
Other Short Term Investments,,0.0,471962000.0,0.0,
Cash And Cash Equivalents,733947000.0,997002000.0,889689000.0,1760225000.0,
