,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-46496940.0,-2134692.0,-6003881.180339,0.0,
Tax Rate For Calcs,0.21,0.172,0.125081,0.091,
Normalized EBITDA,685152000.0,544351000.0,1653825000.0,1338682000.0,
Total Unusual Items,-221414000.0,-12411000.0,-48000000.0,,
Total Unusual Items Excluding Goodwill,-221414000.0,-12411000.0,-48000000.0,,
Net Income From Continuing Operation Net Minority Interest,-70322000.0,103152000.0,1033353000.0,733611000.0,
Reconciled Depreciation,320933000.0,338848000.0,361415000.0,456104000.0,
Reconciled Cost Of Revenue,2281011000.0,2272457000.0,2359546000.0,2131741000.0,
EBITDA,463738000.0,531940000.0,1605825000.0,1338682000.0,
EBIT,142805000.0,193092000.0,1244410000.0,882578000.0,
Net Interest Income,-69245000.0,-68463000.0,-63326000.0,-75198000.0,
Interest Expense,69245000.0,68463000.0,63326000.0,75198000.0,
Interest Income,,,,,12066000.0
Normalized Income,104595060.0,113428308.0,1075349118.819661,733611000.0,
Net Income From Continuing And Discontinued Operation,-70322000.0,103152000.0,1033353000.0,733611000.0,
Total Expenses,3456391000.0,3373820000.0,3371645000.0,3108680000.0,
Total Operating Income As Reported,91701000.0,183168000.0,1226069000.0,906627000.0,
Diluted Average Shares,97557000.0,103019000.0,111546000.0,116016000.0,
Basic Average Shares,97557000.0,102206000.0,106303000.0,112557000.0,
Diluted EPS,-0.72,1.0,9.26,6.32,
Basic EPS,-0.72,1.01,9.529996,6.477075,
Diluted NI Availto Com Stockholders,-70322000.0,103152000.0,1033353000.0,733611000.0,
Net Income Common Stockholders,-70322000.0,103152000.0,1033353000.0,733611000.0,
Net Income,-70322000.0,103152000.0,1033353000.0,733611000.0,
Net Income Including Noncontrolling Interests,-70322000.0,103152000.0,1033353000.0,733611000.0,
Net Income Continuous Operations,-70322000.0,103152000.0,1033353000.0,733611000.0,
Tax Provision,143882000.0,21477000.0,147731000.0,73769000.0,
Pretax Income,73560000.0,124629000.0,1181084000.0,807380000.0,
Other Income Expense,-170310000.0,-2487000.0,-29659000.0,-24049000.0,
Other Non Operating Income Expenses,51104000.0,9924000.0,18341000.0,-24049000.0,
Special Income Charges,-221414000.0,-12411000.0,-48000000.0,,
Impairment Of Capital Assets,221414000.0,12411000.0,48000000.0,,
Net Non Operating Interest Income Expense,-69245000.0,-68463000.0,-63326000.0,-75198000.0,
Interest Expense Non Operating,69245000.0,68463000.0,63326000.0,75198000.0,
Interest Income Non Operating,,,,,12066000.0
Operating Income,313115000.0,195579000.0,1274069000.0,906627000.0,
Operating Expense,1175380000.0,1101363000.0,1012099000.0,976939000.0,
Other Operating Expenses,103991000.0,92732000.0,38745000.0,39306000.0,
Research And Development,682249000.0,649841000.0,623636000.0,570395000.0,
Selling General And Administration,389140000.0,358790000.0,349718000.0,367238000.0,
Gross Profit,1488495000.0,1296942000.0,2286168000.0,1883566000.0,
Cost Of Revenue,2281011000.0,2272457000.0,2359546000.0,2131741000.0,
Total Revenue,3769506000.0,3569399000.0,4645714000.0,4015307000.0,
Operating Revenue,3769506000.0,3569399000.0,4645714000.0,4015307000.0,
