,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,537723000.0,648152000.0,798944000.0,761806000.0,
Repurchase Of Capital Stock,0.0,-29183000.0,0.0,-301567000.0,
Repayment Of Debt,-97439000.0,-148000000.0,-1251373000.0,-1584243000.0,
Issuance Of Debt,75000000.0,0.0,1029773000.0,3248007000.0,
Issuance Of Capital Stock,,0.0,0.0,291153000.0,291182000.0
Capital Expenditure,,,,,-395051000.0
Interest Paid Supplemental Data,322774000.0,381410000.0,252371000.0,1760225000.0,
Income Tax Paid Supplemental Data,7608000.0,10365000.0,7947000.0,170126000.0,
End Cash Position,949619000.0,1261584000.0,1021157000.0,1930351000.0,
Beginning Cash Position,1261584000.0,1021157000.0,1930351000.0,1730369000.0,
Changes In Cash,-311965000.0,240427000.0,-909194000.0,199982000.0,
Financing Cash Flow,-252323000.0,-278937000.0,-801274000.0,-29477000.0,
Cash Flow From Continuing Financing Activities,-252323000.0,-278937000.0,-801274000.0,-29477000.0,
Net Other Financing Charges,-26669000.0,89428000.0,-110996000.0,-1211737000.0,
Proceeds From Stock Option Exercised,,146000.0,885000.0,899000.0,5725000.0
Cash Dividends Paid,-203215000.0,-191182000.0,-468678000.0,-471989000.0,
Preferred Stock Dividend Paid,-62112000.0,-62116000.0,-62116000.0,-65880000.0,
Common Stock Dividend Paid,-141103000.0,-129066000.0,-406562000.0,-406109000.0,
Net Preferred Stock Issuance,,0.0,0.0,-8847000.0,291182000.0
Preferred Stock Payments,,0.0,0.0,-300000000.0,0.0
Preferred Stock Issuance,,0.0,0.0,291153000.0,291182000.0
Net Common Stock Issuance,0.0,-29183000.0,0.0,-1567000.0,
Common Stock Payments,0.0,-29183000.0,0.0,-1567000.0,
Net Issuance Payments Of Debt,-22439000.0,-148000000.0,-221600000.0,1663764000.0,
Net Long Term Debt Issuance,-22439000.0,-148000000.0,-221600000.0,1663764000.0,
Long Term Debt Payments,-97439000.0,-148000000.0,-1251373000.0,-1584243000.0,
Long Term Debt Issuance,75000000.0,0.0,1029773000.0,3248007000.0,
Investing Cash Flow,-597365000.0,-128788000.0,-906864000.0,-532347000.0,
Cash Flow From Continuing Investing Activities,-597365000.0,-128788000.0,-906864000.0,-532347000.0,
Net Other Investing Changes,-50000000.0,105000000.0,,1554000.0,
Dividends Received Cfi,,18869000.0,34417000.0,106005000.0,2389000.0
Net Investment Purchase And Sale,0.0,468598000.0,-468597000.0,0.0,
Sale Of Investment,0.0,468598000.0,597499000.0,0.0,
Purchase Of Investment,0.0,0.0,-1066096000.0,0.0,
Net Investment Properties Purchase And Sale,-432008000.0,-649742000.0,-439512000.0,-500973000.0,
Sale Of Investment Properties,33605000.0,148003000.0,461283000.0,237428000.0,
Purchase Of Investment Properties,-465613000.0,-797745000.0,-900795000.0,-738401000.0,
Net Business Purchase And Sale,-115357000.0,-52644000.0,1245000.0,-32928000.0,
Sale Of Business,0.0,18869000.0,34417000.0,106005000.0,
Purchase Of Business,-115357000.0,-71513000.0,-33172000.0,-138933000.0,
Capital Expenditure Reported,,,0.0,0.0,-395051000.0
Operating Cash Flow,537723000.0,648152000.0,798944000.0,761806000.0,
Cash Flow From Continuing Operating Activities,537723000.0,648152000.0,798944000.0,761806000.0,
Dividend Received Cfo,142880000.0,172873000.0,184501000.0,214521000.0,
Change In Working Capital,-56983000.0,-25579000.0,87334000.0,3546000.0,
Change In Other Working Capital,,,,,-63567000.0
Change In Other Current Liabilities,27879000.0,46283000.0,16482000.0,-3399000.0,
Change In Other Current Assets,-74420000.0,-79110000.0,-34615000.0,-59190000.0,
Change In Payables And Accrued Expense,-6800000.0,10723000.0,5718000.0,35856000.0,
Change In Payable,-6800000.0,10723000.0,5718000.0,35856000.0,
Change In Account Payable,-6800000.0,10723000.0,5718000.0,35856000.0,
Change In Prepaid Assets,-8346000.0,-12854000.0,104186000.0,30466000.0,
Change In Receivables,4704000.0,9379000.0,-4437000.0,-187000.0,
Other Non Cash Items,5874000.0,5928000.0,-42682000.0,24342000.0,
Stock Based Compensation,30172000.0,43201000.0,29249000.0,38329000.0,
Unrealized Gain Loss On Investment Securities,,,0.0,0.0,4938000.0
Provisionand Write Offof Assets,,,,,13369000.0
Asset Impairment Charge,0.0,45007000.0,19098000.0,15575000.0,
Amortization Of Securities,41745000.0,10989000.0,430000.0,11000.0,
Deferred Tax,13008000.0,17020000.0,14005000.0,11243000.0,
Deferred Income Tax,13008000.0,17020000.0,14005000.0,11243000.0,
Depreciation Amortization Depletion,469423000.0,457574000.0,526306000.0,432594000.0,
Depreciation And Amortization,469423000.0,457574000.0,526306000.0,432594000.0,
Operating Gains Losses,-128512000.0,-111749000.0,363315000.0,-185908000.0,
Earnings Losses From Equity Investments,-112464000.0,-38689000.0,461351000.0,-130517000.0,
Gain Loss On Investment Securities,,-1861000.0,2589000.0,-4621000.0,226107000.0
Gain Loss On Sale Of Business,,,,0.0,0.0
Net Income From Continuing Operations,20116000.0,32888000.0,-382612000.0,207553000.0,
