,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-90550458.715596,-125597523.219814,-154177215.189873,2640000.0,
Tax Rate For Calcs,0.275229,0.272446,0.265823,0.24,
Normalized EBITDA,1599000000.0,,1168000000.0,1129000000.0,-480000000.0
Total Unusual Items,-329000000.0,,-580000000.0,11000000.0,-853000000.0
Total Unusual Items Excluding Goodwill,-329000000.0,,-580000000.0,11000000.0,-853000000.0
Net Income From Continuing Operation Net Minority Interest,395000000.0,,58000000.0,478000000.0,-1324000000.0
Reconciled Depreciation,583000000.0,,415000000.0,394000000.0,420000000.0
Reconciled Cost Of Revenue,9617000000.0,,7984000000.0,4822000000.0,3980000000.0
EBITDA,1270000000.0,,588000000.0,1140000000.0,-1333000000.0
EBIT,687000000.0,,173000000.0,746000000.0,-1753000000.0
Net Interest Income,-41000000.0,,-41000000.0,-92000000.0,-56000000.0
Interest Expense,142000000.0,,94000000.0,117000000.0,87000000.0
Interest Income,101000000.0,,53000000.0,25000000.0,31000000.0
Normalized Income,633449541.284404,570402476.780186,483822784.810127,469640000.0,
Net Income From Continuing And Discontinued Operation,395000000.0,,58000000.0,478000000.0,-1324000000.0
Total Expenses,10820000000.0,,8996000000.0,5502000000.0,4488000000.0
Rent Expense Supplemental,988000000.0,,872000000.0,809000000.0,716000000.0
Total Operating Income As Reported,570000000.0,,70000000.0,685000000.0,-1775000000.0
Diluted Average Shares,128372000.0,128708000.0,127899000.0,126775000.0,
Basic Average Shares,126136000.0,127375000.0,126657000.0,125063000.0,
Diluted EPS,3.08,1.83,0.45,3.77,
Basic EPS,3.13,1.84,0.46,3.82,
Diluted NI Availto Com Stockholders,395000000.0,,58000000.0,478000000.0,-1324000000.0
Net Income Common Stockholders,395000000.0,,58000000.0,478000000.0,-1324000000.0
Net Income,395000000.0,,58000000.0,478000000.0,-1324000000.0
Net Income Including Noncontrolling Interests,395000000.0,,58000000.0,478000000.0,-1324000000.0
Net Income Continuous Operations,395000000.0,,58000000.0,478000000.0,-1324000000.0
Tax Provision,150000000.0,,21000000.0,151000000.0,-516000000.0
Pretax Income,545000000.0,,79000000.0,629000000.0,-1840000000.0
Other Income Expense,-329000000.0,,-530000000.0,47000000.0,-862000000.0
Other Non Operating Income Expenses,,,50000000.0,36000000.0,-9000000.0
Special Income Charges,-329000000.0,,-580000000.0,11000000.0,-853000000.0
Gain On Sale Of Ppe,-11000000.0,-385000000.0,-481000000.0,,
Other Special Charges,110000000.0,69000000.0,99000000.0,-10000000.0,
Impairment Of Capital Assets,,,,-1000000.0,627000000.0
Restructuring And Mergern Acquisition,208000000.0,7000000.0,0.0,-1000000.0,
Net Non Operating Interest Income Expense,-41000000.0,,-41000000.0,-92000000.0,-56000000.0
Interest Expense Non Operating,142000000.0,,94000000.0,117000000.0,87000000.0
Interest Income Non Operating,101000000.0,,53000000.0,25000000.0,31000000.0
Operating Income,915000000.0,,650000000.0,674000000.0,-922000000.0
Operating Expense,1203000000.0,,1012000000.0,680000000.0,508000000.0
Other Operating Expenses,854000000.0,,717000000.0,507000000.0,407000000.0
Selling General And Administration,349000000.0,,295000000.0,173000000.0,101000000.0
Selling And Marketing Expense,349000000.0,,295000000.0,173000000.0,101000000.0
Gross Profit,2118000000.0,,1662000000.0,1354000000.0,-414000000.0
Cost Of Revenue,9617000000.0,,7984000000.0,4822000000.0,3980000000.0
Total Revenue,11735000000.0,,9646000000.0,6176000000.0,3566000000.0
Operating Revenue,10654000000.0,,8808000000.0,5499000000.0,3019000000.0
