,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,5636816.720257,7568000.0,-2079300.0,0.0,
Tax Rate For Calcs,0.151527,0.22,0.239,0.227,
Normalized EBITDA,662200000.0,667800000.0,724600000.0,670100000.0,
Total Unusual Items,37200000.0,34400000.0,-8700000.0,0.0,
Total Unusual Items Excluding Goodwill,37200000.0,34400000.0,-8700000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,422200000.0,376900000.0,401300000.0,413000000.0,
Reconciled Depreciation,127100000.0,125000000.0,118900000.0,88300000.0,
Reconciled Cost Of Revenue,1507500000.0,1620200000.0,1715200000.0,1611700000.0,
EBITDA,699400000.0,702200000.0,715900000.0,670100000.0,
EBIT,572300000.0,577200000.0,597000000.0,581800000.0,
Net Interest Income,-74700000.0,-93700000.0,-69600000.0,-47800000.0,
Interest Expense,74700000.0,93700000.0,69600000.0,47800000.0,
Normalized Income,390636816.720257,350068000.0,407920700.0,413000000.0,
Net Income From Continuing And Discontinued Operation,422200000.0,376900000.0,401300000.0,413000000.0,
Total Expenses,2442000000.0,2551800000.0,2606500000.0,2408500000.0,
Total Operating Income As Reported,537000000.0,543400000.0,577900000.0,582200000.0,
Diluted Average Shares,153800000.0,156000000.0,161000000.0,170100000.0,
Basic Average Shares,152800000.0,155100000.0,160500000.0,169000000.0,
Diluted EPS,2.75,2.42,2.49,2.43,
Basic EPS,2.76,2.43,2.5,2.44,
Diluted NI Availto Com Stockholders,422200000.0,376900000.0,401300000.0,413000000.0,
Net Income Common Stockholders,422200000.0,376900000.0,401300000.0,413000000.0,
Net Income,422200000.0,376900000.0,401300000.0,413000000.0,
Net Income Including Noncontrolling Interests,422200000.0,376900000.0,401300000.0,413000000.0,
Net Income Continuous Operations,422200000.0,376900000.0,401300000.0,413000000.0,
Tax Provision,75400000.0,106600000.0,126100000.0,121000000.0,
Pretax Income,497600000.0,483500000.0,527400000.0,534000000.0,
Other Income Expense,35300000.0,33800000.0,19100000.0,-400000.0,
Other Non Operating Income Expenses,-1900000.0,-600000.0,-4900000.0,-400000.0,
Special Income Charges,37200000.0,34400000.0,0.0,0.0,
Gain On Sale Of Business,37200000.0,34400000.0,0.0,0.0,
Write Off,,,,3400000.0,0.0
Impairment Of Capital Assets,,,0.0,0.0,85300000.0
Earnings From Equity Interest,0.0,0.0,32700000.0,0.0,
Gain On Sale Of Security,,,-8700000.0,3300000.0,
Net Non Operating Interest Income Expense,-74700000.0,-93700000.0,-69600000.0,-47800000.0,
Total Other Finance Cost,,,,47800000.0,10000000.0
Interest Expense Non Operating,74700000.0,93700000.0,69600000.0,47800000.0,
Operating Income,537000000.0,543400000.0,577900000.0,582200000.0,
Operating Expense,887100000.0,887800000.0,850400000.0,750900000.0,
Depreciation Amortization Depletion Income Statement,79700000.0,81200000.0,78000000.0,42400000.0,
Depreciation And Amortization In Income Statement,79700000.0,81200000.0,78000000.0,42400000.0,
Amortization,79700000.0,81200000.0,78000000.0,42400000.0,
Amortization Of Intangibles Income Statement,79700000.0,81200000.0,78000000.0,42400000.0,
Research And Development,177700000.0,163500000.0,144600000.0,129300000.0,
Selling General And Administration,629700000.0,643100000.0,627800000.0,579200000.0,
Gross Profit,1424100000.0,1431200000.0,1428300000.0,1333100000.0,
Cost Of Revenue,1554900000.0,1664000000.0,1756100000.0,1657600000.0,
Total Revenue,2979000000.0,3095200000.0,3184400000.0,2990700000.0,
Operating Revenue,2979000000.0,3095200000.0,3184400000.0,2990700000.0,
