,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.23586,0.21,0.349,0.27,
Normalized EBITDA,1265000000.0,1002000000.0,617000000.0,153000000.0,
Total Unusual Items,,,0.0,0.0,-1891000000.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,-1891000000.0
Net Income From Continuing Operation Net Minority Interest,635000000.0,993000000.0,155000000.0,-250000000.0,
Reconciled Depreciation,343000000.0,302000000.0,301000000.0,306000000.0,
Reconciled Cost Of Revenue,6860000000.0,6750000000.0,5903000000.0,4750000000.0,
EBITDA,1265000000.0,1002000000.0,617000000.0,153000000.0,
EBIT,922000000.0,700000000.0,316000000.0,-153000000.0,
Net Interest Income,-53000000.0,-60000000.0,-59000000.0,-68000000.0,
Interest Expense,91000000.0,88000000.0,78000000.0,77000000.0,
Interest Income,38000000.0,28000000.0,19000000.0,9000000.0,
Normalized Income,635000000.0,993000000.0,155000000.0,-250000000.0,
Net Income From Continuing And Discontinued Operation,635000000.0,993000000.0,155000000.0,-250000000.0,
Total Expenses,7994000000.0,7932000000.0,6973000000.0,5658000000.0,
Total Operating Income As Reported,876000000.0,651000000.0,264000000.0,-134000000.0,
Diluted Average Shares,396000000.0,397000000.0,394000000.0,386000000.0,
Basic Average Shares,392000000.0,393000000.0,390000000.0,386000000.0,
Diluted EPS,1.6,2.5,0.39,-0.65,
Basic EPS,1.62,2.53,0.4,-0.65,
Diluted NI Availto Com Stockholders,635000000.0,993000000.0,155000000.0,-250000000.0,
Net Income Common Stockholders,635000000.0,993000000.0,155000000.0,-250000000.0,
Net Income,635000000.0,993000000.0,155000000.0,-250000000.0,
Minority Interests,0.0,8000000.0,0.0,-5000000.0,
Net Income Including Noncontrolling Interests,635000000.0,985000000.0,155000000.0,-245000000.0,
Net Income Continuous Operations,635000000.0,985000000.0,155000000.0,-245000000.0,
Tax Provision,196000000.0,-373000000.0,83000000.0,15000000.0,
Pretax Income,831000000.0,612000000.0,238000000.0,-230000000.0,
Other Income Expense,8000000.0,21000000.0,33000000.0,-28000000.0,
Other Non Operating Income Expenses,-28000000.0,-98000000.0,-35000000.0,-23000000.0,
Special Income Charges,,,0.0,0.0,-1891000000.0
Impairment Of Capital Assets,,,0.0,0.0,1891000000.0
Earnings From Equity Interest,36000000.0,119000000.0,68000000.0,-5000000.0,
Net Non Operating Interest Income Expense,-53000000.0,-60000000.0,-59000000.0,-68000000.0,
Interest Expense Non Operating,91000000.0,88000000.0,78000000.0,77000000.0,
Interest Income Non Operating,38000000.0,28000000.0,19000000.0,9000000.0,
Operating Income,876000000.0,651000000.0,264000000.0,-134000000.0,
Operating Expense,1134000000.0,1182000000.0,1070000000.0,908000000.0,
Selling General And Administration,1134000000.0,1182000000.0,1070000000.0,908000000.0,
Gross Profit,2010000000.0,1833000000.0,1334000000.0,774000000.0,
Cost Of Revenue,6860000000.0,6750000000.0,5903000000.0,4750000000.0,
Total Revenue,8870000000.0,8583000000.0,7237000000.0,5524000000.0,
Operating Revenue,8870000000.0,8583000000.0,7237000000.0,5524000000.0,
