,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1300000000.0,1207000000.0,-373000000.0,496000000.0,
Repurchase Of Capital Stock,,,-21000000.0,-18000000.0,-173000000.0
Repayment Of Debt,-4467000000.0,-7718000000.0,-3752000000.0,-7343000000.0,
Issuance Of Debt,1670000000.0,4822000000.0,1069000000.0,12190000000.0,
Issuance Of Capital Stock,,0.0,0.0,460000000.0,2970000000.0
Capital Expenditure,-2683000000.0,-2596000000.0,-2546000000.0,-208000000.0,
Interest Paid Supplemental Data,1933000000.0,2180000000.0,1852000000.0,,
Income Tax Paid Supplemental Data,8000000.0,6000000.0,2000000.0,,
End Cash Position,902000000.0,681000000.0,586000000.0,408000000.0,
Beginning Cash Position,681000000.0,586000000.0,408000000.0,399000000.0,
Changes In Cash,221000000.0,95000000.0,178000000.0,9000000.0,
Financing Cash Flow,-2794000000.0,-3206000000.0,-2631000000.0,5288000000.0,
Cash Flow From Continuing Financing Activities,-2794000000.0,-3206000000.0,-2631000000.0,5288000000.0,
Net Other Financing Charges,3000000.0,-310000000.0,52000000.0,-19000000.0,
Proceeds From Stock Option Exercised,,,,,-173000000.0
Cash Dividends Paid,,,0.0,0.0,-43000000.0
Common Stock Dividend Paid,,,0.0,0.0,-43000000.0
Net Common Stock Issuance,,0.0,-21000000.0,460000000.0,2797000000.0
Common Stock Payments,,,-21000000.0,-18000000.0,-173000000.0
Common Stock Issuance,,0.0,0.0,460000000.0,2970000000.0
Net Issuance Payments Of Debt,-2797000000.0,-2896000000.0,-2683000000.0,4847000000.0,
Net Long Term Debt Issuance,-2797000000.0,-2896000000.0,-2683000000.0,4847000000.0,
Long Term Debt Payments,-4467000000.0,-7718000000.0,-3752000000.0,-7343000000.0,
Long Term Debt Issuance,1670000000.0,4822000000.0,1069000000.0,12190000000.0,
Investing Cash Flow,-968000000.0,-502000000.0,636000000.0,-5983000000.0,
Cash Flow From Continuing Investing Activities,-968000000.0,-502000000.0,636000000.0,-5983000000.0,
Net Other Investing Changes,242000000.0,326000000.0,-359000000.0,-590000000.0,
Net Investment Purchase And Sale,819000000.0,1538000000.0,3715000000.0,-5531000000.0,
Sale Of Investment,8013000000.0,8861000000.0,14972000000.0,13923000000.0,
Purchase Of Investment,-7194000000.0,-7323000000.0,-11257000000.0,-19454000000.0,
Net Business Purchase And Sale,0.0,0.0,-321000000.0,-28000000.0,
Sale Of Business,,,,5000000.0,41000000.0
Purchase Of Business,0.0,0.0,-321000000.0,-28000000.0,
Net PPE Purchase And Sale,654000000.0,230000000.0,147000000.0,374000000.0,
Sale Of PPE,654000000.0,230000000.0,147000000.0,374000000.0,
Purchase Of PPE,,,-360000000.0,-204000000.0,-173000000.0
Capital Expenditure Reported,-2683000000.0,-2596000000.0,-2546000000.0,-208000000.0,
Operating Cash Flow,3983000000.0,3803000000.0,2173000000.0,704000000.0,
Cash Flow From Continuing Operating Activities,3983000000.0,3803000000.0,2173000000.0,704000000.0,
Change In Working Capital,815000000.0,236000000.0,-182000000.0,1041000000.0,
Change In Other Working Capital,427000000.0,109000000.0,5000000.0,-168000000.0,
Change In Other Current Liabilities,410000000.0,-166000000.0,865000000.0,1454000000.0,
Change In Other Current Assets,-314000000.0,-11000000.0,-775000000.0,-402000000.0,
Change In Payables And Accrued Expense,257000000.0,209000000.0,360000000.0,461000000.0,
Change In Payable,257000000.0,209000000.0,360000000.0,,
Change In Account Payable,257000000.0,209000000.0,360000000.0,,
Change In Receivables,35000000.0,95000000.0,-637000000.0,-304000000.0,
Changes In Account Receivables,35000000.0,95000000.0,-637000000.0,,
Other Non Cash Items,-250000000.0,-164000000.0,189000000.0,68000000.0,
Stock Based Compensation,92000000.0,102000000.0,78000000.0,98000000.0,
Deferred Tax,308000000.0,299000000.0,65000000.0,-555000000.0,
Deferred Income Tax,308000000.0,299000000.0,65000000.0,-555000000.0,
Depreciation Amortization Depletion,2245000000.0,2254000000.0,2298000000.0,2335000000.0,
Depreciation And Amortization,2245000000.0,2254000000.0,2298000000.0,2335000000.0,
Operating Gains Losses,-73000000.0,254000000.0,-402000000.0,-290000000.0,
Pension And Employee Benefit Expense,-82000000.0,-13000000.0,-405000000.0,-321000000.0,
Gain Loss On Sale Of PPE,,,0.0,-22000000.0,-95000000.0
Net Income From Continuing Operations,846000000.0,822000000.0,127000000.0,-1993000000.0,
