,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1275521.9204,659889.048,0.0
Tax Rate For Calcs,0.0868,0.364,0.0
Normalized EBITDA,11185332.0,-2717075.0,-2827333.0
Total Unusual Items,-14694953.0,1812882.0,
Total Unusual Items Excluding Goodwill,-14694953.0,1812882.0,
Net Income From Continuing Operation Net Minority Interest,-19775602.0,593905.0,-3474720.0
Reconciled Depreciation,,606911.0,657182.0
Reconciled Cost Of Revenue,,2934.0,20863.0
EBITDA,-3509621.0,-904193.0,-2827333.0
EBIT,-3509621.0,-904193.0,-3484515.0
Net Interest Income,8580.0,5683.0,2.0
Interest Income,8580.0,5683.0,2.0
Normalized Income,-6356170.9204,-559087.952,-3474720.0
Net Income From Continuing And Discontinued Operation,-19775602.0,593905.0,-3474720.0
Total Expenses,3509621.0,904193.0,3494911.0
Rent Expense Supplemental,,35937.0,38856.0
Total Operating Income As Reported,,-3946035.0,-3484513.0
Diluted Average Shares,81858138.0,73211000.0,69800000.0
Basic Average Shares,81858138.0,73211000.0,69800000.0
Diluted EPS,-0.270118,0.008112,-0.049781
Basic EPS,-0.270118,0.008112,-0.049781
Diluted NI Availto Com Stockholders,-19775602.0,593905.0,-3474720.0
Net Income Common Stockholders,-19775602.0,593905.0,-3474720.0
Net Income,-19775602.0,593905.0,-3474720.0
Net Income Including Noncontrolling Interests,-19775602.0,593905.0,-3474720.0
Net Income Continuous Operations,-19775602.0,593905.0,-3474720.0
Tax Provision,1579608.0,339899.0,0.0
Pretax Income,-18195994.0,933804.0,-3474720.0
Other Income Expense,-14694953.0,1832314.0,9791.0
Other Non Operating Income Expenses,,19432.0,9791.0
Gain On Sale Of Security,-14694953.0,1812882.0,
Net Non Operating Interest Income Expense,8580.0,5683.0,2.0
Interest Income Non Operating,8580.0,5683.0,2.0
Operating Income,-3509621.0,-904193.0,-3484515.0
Operating Expense,3509621.0,904193.0,3474048.0
Other Operating Expenses,,585933.0,449077.0
Depreciation Amortization Depletion Income Statement,,606911.0,657182.0
Depreciation And Amortization In Income Statement,,606911.0,657182.0
Selling General And Administration,3509621.0,904193.0,2367789.0
Selling And Marketing Expense,,1079.0,921.0
General And Administrative Expense,3509621.0,904193.0,2366868.0
Other Gand A,3509621.0,904193.0,234873.0
Rent And Landing Fees,,35937.0,38856.0
Salaries And Wages,,2528120.0,2093139.0
Gross Profit,,16102.0,-10467.0
Cost Of Revenue,,2934.0,20863.0
Total Revenue,0.0,0.0,10396.0
Operating Revenue,0.0,0.0,10396.0
