,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-152040000.0,-8174000.0,-477540000.0,14882504.288165,
Tax Rate For Calcs,0.21,0.067,0.21,0.222127,
Normalized EBITDA,1227000000.0,1498000000.0,1712000000.0,2934000000.0,
Total Unusual Items,-724000000.0,-122000000.0,-2274000000.0,67000000.0,
Total Unusual Items Excluding Goodwill,-724000000.0,-122000000.0,-2274000000.0,67000000.0,
Net Income From Continuing Operation Net Minority Interest,-323000000.0,481000000.0,-1519000000.0,1783000000.0,
Reconciled Depreciation,333000000.0,361000000.0,475000000.0,494000000.0,
Reconciled Cost Of Revenue,13724000000.0,15964000000.0,16211000000.0,17129000000.0,
EBITDA,503000000.0,1376000000.0,-562000000.0,3001000000.0,
EBIT,170000000.0,1015000000.0,-1037000000.0,2507000000.0,
Net Interest Income,-331000000.0,-422000000.0,-171000000.0,-16000000.0,
Interest Expense,358000000.0,422000000.0,190000000.0,175000000.0,
Interest Income,27000000.0,,19000000.0,159000000.0,21000000.0
Normalized Income,248960000.0,594826000.0,277460000.0,1730882504.288165,
Net Income From Continuing And Discontinued Operation,-323000000.0,481000000.0,-1519000000.0,1783000000.0,
Total Expenses,15741000000.0,18318000000.0,18506000000.0,19704000000.0,
Total Operating Income As Reported,143000000.0,1015000000.0,-1056000000.0,2348000000.0,
Diluted Average Shares,,55200000.0,55900000.0,62900000.0,63300000.0
Basic Average Shares,,55000000.0,55900000.0,62100000.0,62700000.0
Diluted EPS,,8.72,-27.18,28.36,17.07
Basic EPS,,8.76,-27.18,28.73,17.24
Diluted NI Availto Com Stockholders,-323000000.0,481000000.0,-1519000000.0,1783000000.0,
Net Income Common Stockholders,-323000000.0,481000000.0,-1519000000.0,1783000000.0,
Net Income,-323000000.0,481000000.0,-1519000000.0,1783000000.0,
Minority Interests,-18000000.0,-7000000.0,-8000000.0,-23000000.0,
Net Income Including Noncontrolling Interests,-305000000.0,488000000.0,-1511000000.0,1806000000.0,
Net Income Continuous Operations,-305000000.0,488000000.0,-1511000000.0,1806000000.0,
Earnings From Equity Interest Net Of Tax,-107000000.0,-28000000.0,-19000000.0,-8000000.0,
Tax Provision,10000000.0,77000000.0,265000000.0,518000000.0,
Pretax Income,-188000000.0,593000000.0,-1227000000.0,2332000000.0,
Other Income Expense,-724000000.0,-122000000.0,-2274000000.0,67000000.0,
Special Income Charges,-724000000.0,-122000000.0,-2274000000.0,67000000.0,
Gain On Sale Of Business,-264000000.0,-106000000.0,-1869000000.0,105000000.0,
Impairment Of Capital Assets,381000000.0,0.0,384000000.0,0.0,
Restructuring And Mergern Acquisition,79000000.0,16000000.0,21000000.0,38000000.0,
Net Non Operating Interest Income Expense,-331000000.0,-422000000.0,-171000000.0,-16000000.0,
Interest Expense Non Operating,358000000.0,422000000.0,190000000.0,175000000.0,
Interest Income Non Operating,27000000.0,,19000000.0,159000000.0,21000000.0
Operating Income,866000000.0,1137000000.0,1218000000.0,2281000000.0,
Operating Expense,1715000000.0,2033000000.0,1855000000.0,2128000000.0,
Depreciation Amortization Depletion Income Statement,31000000.0,40000000.0,35000000.0,47000000.0,
Depreciation And Amortization In Income Statement,31000000.0,40000000.0,35000000.0,47000000.0,
Amortization,31000000.0,40000000.0,35000000.0,47000000.0,
Amortization Of Intangibles Income Statement,31000000.0,40000000.0,35000000.0,47000000.0,
Selling General And Administration,1684000000.0,1993000000.0,1820000000.0,2081000000.0,
Gross Profit,2581000000.0,3170000000.0,3073000000.0,4409000000.0,
Cost Of Revenue,14026000000.0,16285000000.0,16651000000.0,17576000000.0,
Total Revenue,16607000000.0,19455000000.0,19724000000.0,21985000000.0,
Operating Revenue,16607000000.0,19455000000.0,19724000000.0,21985000000.0,
