,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,183000000.0,,-253000000.0,738000000.0,-456000000.0
Repurchase Of Capital Stock,-312000000.0,,0.0,0.0,-31000000.0
Repayment Of Debt,-1915000000.0,,-385000000.0,-1334000000.0,-565000000.0
Issuance Of Debt,2310000000.0,,0.0,363000000.0,2564000000.0
Capital Expenditure,-1281000000.0,,-1671000000.0,-292000000.0,-222000000.0
Interest Paid Supplemental Data,148000000.0,,71000000.0,109000000.0,50000000.0
Income Tax Paid Supplemental Data,22000000.0,,0.0,48000000.0,0.0
End Cash Position,1257000000.0,,369000000.0,494000000.0,1386000000.0
Beginning Cash Position,308000000.0,,494000000.0,1386000000.0,232000000.0
Changes In Cash,949000000.0,,-125000000.0,-892000000.0,1154000000.0
Financing Cash Flow,119000000.0,,-325000000.0,-914000000.0,1981000000.0
Cash Flow From Continuing Financing Activities,119000000.0,,-325000000.0,-914000000.0,1981000000.0
Net Other Financing Charges,36000000.0,,60000000.0,57000000.0,58000000.0
Cash Dividends Paid,,,0.0,0.0,-45000000.0
Common Stock Dividend Paid,,,0.0,0.0,-45000000.0
Net Common Stock Issuance,-312000000.0,,0.0,0.0,-31000000.0
Common Stock Payments,-312000000.0,,0.0,0.0,-31000000.0
Net Issuance Payments Of Debt,395000000.0,,-385000000.0,-971000000.0,1999000000.0
Net Long Term Debt Issuance,395000000.0,,-385000000.0,-971000000.0,1999000000.0
Long Term Debt Payments,-1915000000.0,,-385000000.0,-1334000000.0,-565000000.0
Long Term Debt Issuance,2310000000.0,,0.0,363000000.0,2564000000.0
Investing Cash Flow,-634000000.0,,-1218000000.0,-1008000000.0,-593000000.0
Cash Flow From Continuing Investing Activities,-634000000.0,,-1218000000.0,-1008000000.0,-593000000.0
Net Other Investing Changes,377000000.0,,-2000000.0,-10000000.0,273000000.0
Net Investment Purchase And Sale,929000000.0,,455000000.0,-706000000.0,-644000000.0
Sale Of Investment,1761000000.0,,2252000000.0,3595000000.0,2318000000.0
Purchase Of Investment,-832000000.0,,-1797000000.0,-4301000000.0,-2962000000.0
Net Business Purchase And Sale,-659000000.0,0.0,0.0,,
Purchase Of Business,-659000000.0,0.0,0.0,,
Net PPE Purchase And Sale,-1281000000.0,,-1671000000.0,-292000000.0,-222000000.0
Purchase Of PPE,-1281000000.0,,-1671000000.0,-292000000.0,-222000000.0
Operating Cash Flow,1464000000.0,,1418000000.0,1030000000.0,-234000000.0
Cash Flow From Continuing Operating Activities,1464000000.0,,1418000000.0,1030000000.0,-234000000.0
Change In Working Capital,493000000.0,,407000000.0,118000000.0,-201000000.0
Change In Other Working Capital,558000000.0,,140000000.0,94000000.0,-214000000.0
Change In Other Current Liabilities,63000000.0,,17000000.0,90000000.0,173000000.0
Change In Receivables,-128000000.0,,250000000.0,-66000000.0,-160000000.0
Changes In Account Receivables,-128000000.0,,-45000000.0,-69000000.0,-160000000.0
Other Non Cash Items,-70000000.0,,,-11000000.0,220000000.0
Stock Based Compensation,63000000.0,,42000000.0,51000000.0,24000000.0
Asset Impairment Charge,,,496000000.0,-1000000.0,627000000.0
Depreciation Amortization Depletion,583000000.0,,415000000.0,394000000.0,420000000.0
Depreciation And Amortization,583000000.0,,415000000.0,394000000.0,420000000.0
Net Income From Continuing Operations,395000000.0,,58000000.0,478000000.0,-1324000000.0
