Price,Close,High,Low,Open,Volume
Ticker,LUV,LUV,LUV,LUV,LUV
Date,,,,,
2015-01-02,38.523162841796875,38.848024930854024,38.080992120190984,38.523162841796875,6890400
2015-01-05,37.575653076171875,38.71267045946227,37.40419960386609,38.64950320954135,7877700
2015-01-06,36.510826110839844,37.945631360492555,35.79793469445589,37.8102744530803,10576800
2015-01-07,36.817657470703125,37.106423141660926,36.438653818455386,36.79058676478781,7693100
2015-01-08,37.792236328125,37.98173811481723,36.953010195793546,36.99812917705013,7301900
2015-01-09,36.80862045288086,37.93661198348625,36.67326009226542,37.79222920526304,7170600
2015-01-12,36.321327209472656,36.87178762603308,35.84305990305122,36.501806542463164,7095900
2015-01-13,36.52887725830078,37.6839394823239,36.041584091657164,36.65521175875869,8366400
2015-01-14,35.59039306640625,36.30328465072285,34.8594566440693,35.843065549338746,8540400
2015-01-15,35.10309982299805,35.87915514899149,34.96773945461795,35.3918653960089,7480200
2015-01-16,35.62648010253906,35.707695621347966,34.52555939031984,34.90456629221358,9110100
2015-01-20,36.80862045288086,36.83569114806116,35.8430599780712,36.31230486788588,10067200
2015-01-21,37.747127532958984,37.819317233978445,36.24915078909228,36.501823348556755,10351900
2015-01-22,40.92352294921875,41.239362578340476,39.10971445513259,39.20897824021781,20870700
2015-01-23,41.311561584472656,41.51008919959017,40.24673728179026,41.01377360415343,11929800
2015-01-26,41.87104797363281,41.880070391451895,40.7971978082385,40.90548747620977,8447600
2015-01-27,41.40180587768555,41.88007322871029,40.49038671014499,41.14913341099177,7747000
2015-01-28,41.32961654663086,42.484682425882305,41.257426865503795,42.06957885056068,9339300
2015-01-29,42.40346908569336,42.5658967372556,41.05890135099054,41.46497908579057,8234100
2015-01-30,40.77012634277344,42.21395413156362,40.697933232155435,41.816902350235566,11999300
2015-02-02,40.18356704711914,40.62574121823153,38.43292552399556,40.55354811178184,13259700
2015-02-03,39.028507232666016,39.65115732267853,38.3878088649544,38.95631412186962,12057300
2015-02-04,40.2828369140625,40.67086631377637,39.227038390904255,39.26313150720808,8900500
2015-02-05,40.12942123413086,40.138443650263675,39.1277643679241,39.98503847951092,7951000
2015-02-06,39.83163833618164,40.364050502496355,39.452634815596824,39.822615918130296,8558400
2015-02-09,39.03752899169922,39.425558349790606,38.721692743186196,39.254104878077385,8643100
2015-02-10,39.506771087646484,39.876752142222024,39.00143312570332,39.45262970164211,5881500
2015-02-11,39.25410461425781,40.16552024123917,38.992409757330435,40.1204012692344,5288900
2015-02-12,39.25410461425781,39.27215289153111,38.07196827053398,38.857052841316104,7304400
2015-02-13,39.07363510131836,39.37142658761385,38.73072463168174,38.90218158767893,6395500
2015-02-17,38.43291473388672,39.34433007161349,38.39681819079604,39.21799561315194,8818100
2015-02-18,39.29922866821289,39.41654076448096,38.10806975299704,38.74876818844427,8271400
2015-02-19,39.488731384277344,40.5806299512845,39.434589986519214,40.53550753000948,7535500
2015-02-20,40.40917205810547,40.56258071363246,39.1638717460639,39.38947007768326,7117200
2015-02-23,40.32796096801758,41.04987846269171,39.957979801058066,40.70696799695727,7303100
2015-02-24,40.92352294921875,40.93254880732991,39.74139027101978,40.04820404203035,6998700
2015-02-25,39.813594818115234,40.851348578314635,39.68726029614818,40.62575023412847,7775000
2015-02-26,39.777496337890625,40.27381193973358,39.461656633185406,40.21064468726395,7835500
2015-02-27,39.01948165893555,39.84968171180217,38.983385106456986,39.84968171180217,4792800
2015-03-02,39.903831481933594,39.95797287499922,39.019486490837984,39.019486490837984,6399900
