,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1466595000.0,1491046000.0,961141000.0,1289411000.0,
Repurchase Of Capital Stock,-1385932000.0,-320331000.0,-839595000.0,-1598627000.0,
Repayment Of Debt,-5515213000.0,-3020956000.0,-2404395000.0,-861115000.0,
Issuance Of Debt,6624310000.0,2468341000.0,2393116000.0,1615370000.0,
Issuance Of Capital Stock,20453000.0,,,,
Capital Expenditure,-555443000.0,-567985000.0,-603429000.0,-641465000.0,
Interest Paid Supplemental Data,423360000.0,387661000.0,279002000.0,326165000.0,
Income Tax Paid Supplemental Data,387940000.0,268091000.0,209754000.0,154850000.0,
End Cash Position,879825000.0,464634000.0,338989000.0,554960000.0,
Beginning Cash Position,464634000.0,338989000.0,554960000.0,501790000.0,
Effect Of Exchange Rate Changes,-18481000.0,8909000.0,-29066000.0,-10007000.0,
Changes In Cash,433672000.0,116736000.0,-186905000.0,63177000.0,
Cash Flow From Discontinued Operation,,,,0.0,0.0
Financing Cash Flow,-816937000.0,-1170495000.0,-1121128000.0,-1082966000.0,
Cash Flow From Continuing Financing Activities,-816937000.0,-1170495000.0,-1121128000.0,-1082966000.0,
Net Other Financing Charges,-560555000.0,-297549000.0,-270254000.0,-238594000.0,
Net Common Stock Issuance,-1365479000.0,-320331000.0,-839595000.0,-1598627000.0,
Common Stock Payments,-1385932000.0,-320331000.0,-839595000.0,-1598627000.0,
Common Stock Issuance,20453000.0,,,,
Net Issuance Payments Of Debt,1109097000.0,-552615000.0,-11279000.0,754255000.0,
Net Long Term Debt Issuance,1109097000.0,-552615000.0,-11279000.0,754255000.0,
Long Term Debt Payments,-5515213000.0,-3020956000.0,-2404395000.0,-861115000.0,
Long Term Debt Issuance,6624310000.0,2468341000.0,2393116000.0,1615370000.0,
Investing Cash Flow,-771429000.0,-771800000.0,-630347000.0,-784733000.0,
Cash Flow From Continuing Investing Activities,-771429000.0,-771800000.0,-630347000.0,-784733000.0,
Net Other Investing Changes,25862000.0,30610000.0,116800000.0,60719000.0,
Dividends Received Cfi,6680000.0,4913000.0,3962000.0,2944000.0,
Net Investment Purchase And Sale,2745000.0,63258000.0,-58487000.0,-5957000.0,
Sale Of Investment,27204000.0,110004000.0,74906000.0,27879000.0,
Purchase Of Investment,-24459000.0,-46746000.0,-133393000.0,-33836000.0,
Net Business Purchase And Sale,-251273000.0,-302596000.0,-89193000.0,-200974000.0,
Purchase Of Business,-251273000.0,-302596000.0,-89193000.0,-200974000.0,
Net PPE Purchase And Sale,-555443000.0,-567985000.0,-603429000.0,-641465000.0,
Purchase Of PPE,-555443000.0,-567985000.0,-603429000.0,-641465000.0,
Operating Cash Flow,2022038000.0,2059031000.0,1564570000.0,1930876000.0,
Cash Flow From Continuing Operating Activities,2022038000.0,2059031000.0,1564570000.0,1930876000.0,
Change In Working Capital,-29821000.0,194535000.0,101000.0,-140639000.0,
Change In Other Working Capital,-29527000.0,57779000.0,10433000.0,20204000.0,
Change In Other Current Liabilities,40061000.0,18866000.0,74354000.0,-100377000.0,
Change In Other Current Assets,-30230000.0,-49229000.0,-23016000.0,102274000.0,
Change In Payables And Accrued Expense,1699000.0,26890000.0,87481000.0,-30320000.0,
Change In Payable,1699000.0,26890000.0,87481000.0,-30320000.0,
Change In Account Payable,1699000.0,26890000.0,87481000.0,-30320000.0,
Change In Inventory,17942000.0,-32132000.0,-757000.0,5720000.0,
Change In Receivables,-29766000.0,172361000.0,-148394000.0,-138140000.0,
Changes In Account Receivables,-29766000.0,172361000.0,-148394000.0,-138140000.0,
Other Non Cash Items,13414000.0,-8938000.0,21693000.0,11231000.0,
Stock Based Compensation,102788000.0,112375000.0,95427000.0,102209000.0,
Asset Impairment Charge,0.0,26083000.0,0.0,0.0,
Deferred Tax,-57840000.0,-39354000.0,-75669000.0,60483000.0,
Deferred Income Tax,-57840000.0,-39354000.0,-75669000.0,60483000.0,
Depreciation Amortization Depletion,723860000.0,745443000.0,732602000.0,680615000.0,
Depreciation And Amortization,723860000.0,745443000.0,732602000.0,680615000.0,
Operating Gains Losses,18900000.0,71909000.0,8773000.0,5215000.0,
Earnings Losses From Equity Investments,,64777000.0,8773000.0,5215000.0,13830000.0
Gain Loss On Investment Securities,115839000.0,,,,
Gain Loss On Sale Of Business,-109466000.0,,0.0,0.0,24248000.0
Net Income From Continuing Operations,1250737000.0,956978000.0,781643000.0,1211762000.0,
