,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-562903504.802561,-310426000.0,-1191154721.0,1079822205.0,
Tax Rate For Calcs,0.212721,0.25,0.229,0.219,
Normalized EBITDA,504200000.0,586939000.0,672690000.0,657511000.0,
Total Unusual Items,-2646200000.0,-1241704000.0,-5201549000.0,4930695000.0,
Total Unusual Items Excluding Goodwill,-2646200000.0,-1241704000.0,-5201549000.0,4930695000.0,
Net Income From Continuing Operation Net Minority Interest,-1844200000.0,-637324000.0,-3627535000.0,4254257000.0,
Reconciled Depreciation,151600000.0,145900000.0,137300000.0,137600000.0,
Reconciled Cost Of Revenue,1187600000.0,1244316000.0,1234919000.0,1284449000.0,
EBITDA,-2142000000.0,-654765000.0,-4528859000.0,5588206000.0,
EBIT,-2293600000.0,-800665000.0,-4666159000.0,5450606000.0,
Net Interest Income,33100000.0,51461000.0,19886000.0,17349000.0,
Interest Expense,48900000.0,49439000.0,38114000.0,1551000.0,
Interest Income,82000000.0,100900000.0,58000000.0,18900000.0,
Normalized Income,239096495.197439,293954000.0,382859279.0,403384205.0,
Net Income From Continuing And Discontinued Operation,-1844200000.0,-637324000.0,-3627535000.0,4254257000.0,
Total Expenses,2297500000.0,2333466000.0,2327133000.0,2422209000.0,
Total Operating Income As Reported,269000000.0,337796000.0,482616000.0,500336000.0,
Diluted Average Shares,28214000.0,29209000.0,29785000.0,30208000.0,
Basic Average Shares,28214000.0,29209000.0,29785000.0,29831000.0,
Diluted EPS,-65.36,-21.82,-121.79,140.56,
Basic EPS,-65.36,-21.82,-121.79,142.33,
Diluted NI Availto Com Stockholders,-1844200000.0,-637324000.0,-3627535000.0,4254257000.0,
Net Income Common Stockholders,-1844200000.0,-637324000.0,-3627535000.0,4254257000.0,
Net Income,-1844200000.0,-637324000.0,-3627535000.0,4254257000.0,
Net Income Including Noncontrolling Interests,-1844200000.0,-637324000.0,-3627535000.0,4254257000.0,
Net Income Continuous Operations,-1844200000.0,-637324000.0,-3627535000.0,4254257000.0,
Tax Provision,-498300000.0,-212780000.0,-1076738000.0,1194798000.0,
Pretax Income,-2342500000.0,-850104000.0,-4704273000.0,5449055000.0,
Other Income Expense,-2644600000.0,-1239404000.0,-5199249000.0,4931395000.0,
Other Non Operating Income Expenses,1600000.0,2300000.0,2300000.0,700000.0,
Special Income Charges,0.0,2500000.0,-10500000.0,-800000.0,
Gain On Sale Of Ppe,,,,,0.0
Gain On Sale Of Business,0.0,2500000.0,1400000.0,0.0,
Write Off,0.0,0.0,11900000.0,800000.0,
Impairment Of Capital Assets,,,,,0.0
Gain On Sale Of Security,-2646200000.0,-1244204000.0,-5191049000.0,4931495000.0,
Net Non Operating Interest Income Expense,33100000.0,51461000.0,19886000.0,17349000.0,
Interest Expense Non Operating,48900000.0,49439000.0,38114000.0,1551000.0,
Interest Income Non Operating,82000000.0,100900000.0,58000000.0,18900000.0,
Operating Income,269000000.0,337796000.0,475116000.0,500336000.0,
Operating Expense,1109900000.0,1089150000.0,1092214000.0,1137760000.0,
Other Operating Expenses,,,7500000.0,,
Provision For Doubtful Accounts,0.0,0.0,7500000.0,,
Research And Development,295900000.0,247427000.0,256889000.0,260638000.0,
Selling General And Administration,814000000.0,841723000.0,827825000.0,877122000.0,
Gross Profit,1378900000.0,1426946000.0,1567330000.0,1638096000.0,
Cost Of Revenue,1187600000.0,1244316000.0,1234919000.0,1284449000.0,
Total Revenue,2566500000.0,2671262000.0,2802249000.0,2922545000.0,
Operating Revenue,2566500000.0,2671262000.0,2802249000.0,2922545000.0,
