,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,67400000.0
Ordinary Shares Number,49100000.0,49300000.0,49900000.0,49900000.0,
Share Issued,49100000.0,49300000.0,49900000.0,49900000.0,
Net Debt,1878000000.0,1702000000.0,4116000000.0,4393000000.0,
Total Debt,5685000000.0,5440000000.0,8133000000.0,7579000000.0,
Tangible Book Value,2305000000.0,2156000000.0,1466000000.0,1399000000.0,
Invested Capital,8608000000.0,8210000000.0,10272000000.0,9525000000.0,
Working Capital,,,,8089000000.0,8689000000.0
Net Tangible Assets,2305000000.0,2156000000.0,1466000000.0,1399000000.0,
Capital Lease Obligations,128000000.0,148000000.0,126000000.0,140000000.0,
Common Stock Equity,3051000000.0,2918000000.0,2265000000.0,2086000000.0,
Total Capitalization,8608000000.0,8210000000.0,10272000000.0,9525000000.0,
Total Equity Gross Minority Interest,3051000000.0,2918000000.0,2265000000.0,2086000000.0,
Stockholders Equity,3051000000.0,2918000000.0,2265000000.0,2086000000.0,
Gains Losses Not Affecting Retained Earnings,-22000000.0,-19000000.0,-21000000.0,-2000000.0,
Treasury Stock,,,,0.0,6733000000.0
Retained Earnings,999000000.0,767000000.0,93000000.0,-87000000.0,
Additional Paid In Capital,2073000000.0,2169000000.0,2192000000.0,2174000000.0,
Capital Stock,1000000.0,1000000.0,1000000.0,1000000.0,
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0,
Total Liabilities Net Minority Interest,19840000000.0,20223000000.0,23142000000.0,19660000000.0,
Total Non Current Liabilities Net Minority Interest,,,,7892000000.0,9035000000.0
Other Non Current Liabilities,,,,,3658200000.0
Non Current Deferred Liabilities,,,,313000000.0,347000000.0
Non Current Deferred Revenue,,,,,105500000.0
Non Current Deferred Taxes Liabilities,,,,313000000.0,347000000.0
Long Term Debt And Capital Lease Obligation,5685000000.0,5440000000.0,8133000000.0,7579000000.0,
Long Term Capital Lease Obligation,128000000.0,148000000.0,126000000.0,140000000.0,
Long Term Debt,5557000000.0,5292000000.0,8007000000.0,7439000000.0,
Current Liabilities,,,,11768000000.0,11990000000.0
Other Current Liabilities,,,,11163000000.0,11252000000.0
Current Deferred Liabilities,,,,,898500000.0
Current Deferred Revenue,,,,,898500000.0
Current Debt And Capital Lease Obligation,0.0,0.0,0.0,0.0,
Current Capital Lease Obligation,,,,,23600000.0
Current Debt,0.0,0.0,0.0,0.0,
Other Current Borrowings,,,,,1952100000.0
Line Of Credit,0.0,0.0,0.0,0.0,
Payables And Accrued Expenses,871000000.0,981000000.0,1010000000.0,918000000.0,
Current Accrued Expenses,295000000.0,273000000.0,306000000.0,314000000.0,
Payables,576000000.0,708000000.0,704000000.0,604000000.0,
Total Tax Payable,250000000.0,286000000.0,306000000.0,313000000.0,
Income Tax Payable,250000000.0,286000000.0,306000000.0,313000000.0,
Accounts Payable,326000000.0,422000000.0,398000000.0,291000000.0,
Total Assets,22891000000.0,23141000000.0,25407000000.0,21746000000.0,
Total Non Current Assets,,,,1889000000.0,1868000000.0
Other Non Current Assets,,,,,558100000.0
Non Current Deferred Assets,,,,666000000.0,600000000.0
Non Current Deferred Taxes Assets,,,,302000000.0,289000000.0
Investments And Advances,266000000.0,253000000.0,227000000.0,289000000.0,
Other Investments,,,,50000000.0,
Investmentin Financial Assets,,,,174000000.0,225000000.0
Available For Sale Securities,96000000.0,82000000.0,126000000.0,64000000.0,
Long Term Equity Investment,,0.0,6000000.0,50000000.0,0.0
Goodwill And Other Intangible Assets,746000000.0,762000000.0,799000000.0,687000000.0,
Other Intangible Assets,112000000.0,128000000.0,165000000.0,53000000.0,
Goodwill,634000000.0,634000000.0,634000000.0,634000000.0,
Net PPE,229000000.0,265000000.0,283000000.0,312000000.0,
Accumulated Depreciation,,-343000000.0,-287000000.0,-256000000.0,-271000000.0
Gross PPE,229000000.0,265000000.0,570000000.0,568000000.0,
Construction In Progress,,,9000000.0,25000000.0,24000000.0
Other Properties,87000000.0,98000000.0,88000000.0,97000000.0,
Machinery Furniture Equipment,,,401000000.0,370000000.0,370000000.0
Land And Improvements,,,,76000000.0,90000000.0
Properties,142000000.0,167000000.0,482000000.0,76000000.0,
Current Assets,,,,19857000000.0,20679000000.0
Other Current Assets,,,,151000000.0,207000000.0
Assets Held For Sale Current,,,,,2463000000.0
Restricted Cash,,,,877000000.0,323000000.0
Inventory,,,,,164300000.0
Receivables,145000000.0,144000000.0,164000000.0,151000000.0,
Receivables Adjustments Allowances,,,,,-11208500000.0
Other Receivables,,,,,290000000.0
Loans Receivable,,,,15567000000.0,14776000000.0
Accounts Receivable,145000000.0,144000000.0,164000000.0,151000000.0,
Allowance For Doubtful Accounts Receivable,,,,,-4000000.0
Gross Accounts Receivable,,,,,387800000.0
Cash Cash Equivalents And Short Term Investments,,,,3111000000.0,2796000000.0
Other Short Term Investments,170000000.0,171000000.0,95000000.0,175000000.0,
Cash And Cash Equivalents,3679000000.0,3590000000.0,3891000000.0,3046000000.0,
Cash Cash Equivalents And Federal Funds Sold,3714000000.0,3616000000.0,3927000000.0,3923000000.0,
