,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,1060000.0,1060000.0,1026586.0,967310.0
Preferred Shares Number,9200000.0,9200000.0,9200000.0,9200000.0,
Ordinary Shares Number,71097000.0,64726253.0,64380000.0,64105000.0,
Share Issued,71097000.0,65786253.0,65440000.0,65131586.0,
Net Debt,4012619000.0,3268924000.0,5308751000.0,3765613000.0,
Total Debt,5114755000.0,4423970000.0,6511342000.0,4971314000.0,
Tangible Book Value,3548302000.0,3559605000.0,4149615000.0,4525865000.0,
Invested Capital,7926281000.0,7055130000.0,9875125000.0,8559974000.0,
Working Capital,758749000.0,-224978000.0,-191098000.0,-72442000.0,
Net Tangible Assets,3770234000.0,3781537000.0,4371547000.0,4747797000.0,
Capital Lease Obligations,917842000.0,933223000.0,999318000.0,954284000.0,
Common Stock Equity,3729368000.0,3564383000.0,4363101000.0,4542944000.0,
Preferred Stock Equity,221932000.0,221932000.0,221932000.0,221932000.0,
Total Capitalization,7831973000.0,6722310000.0,9653840000.0,8400572000.0,
Total Equity Gross Minority Interest,4554956000.0,4260477000.0,5094858000.0,5318580000.0,
Minority Interest,603656000.0,474162000.0,509825000.0,553704000.0,
Stockholders Equity,3951300000.0,3786315000.0,4585033000.0,4764876000.0,
Gains Losses Not Affecting Retained Earnings,18196000.0,17477000.0,49604000.0,-46758000.0,
Other Equity Adjustments,19462000.0,19268000.0,49846000.0,-47875000.0,
Unrealized Gain Loss,-1266000.0,-1791000.0,-242000.0,1117000.0,
Treasury Stock,,128655000.0,128655000.0,126160000.0,124049000.0
Retained Earnings,-449101000.0,-151551000.0,651138000.0,975781000.0,
Additional Paid In Capital,4159562000.0,3826452000.0,3790358000.0,3739409000.0,
Capital Stock,222643000.0,222592000.0,222588000.0,222604000.0,
Common Stock,711000.0,660000.0,656000.0,672000.0,
Preferred Stock,221932000.0,221932000.0,221932000.0,221932000.0,
Total Liabilities Net Minority Interest,5915143000.0,5270704000.0,7260936000.0,5748049000.0,
Total Non Current Liabilities Net Minority Interest,5272999000.0,4390525000.0,6354808000.0,4837679000.0,
Other Non Current Liabilities,474484000.0,521307000.0,286683000.0,247699000.0,
Long Term Debt And Capital Lease Obligation,4798515000.0,3869218000.0,6068125000.0,4589980000.0,
Long Term Capital Lease Obligation,917842000.0,933223000.0,999318000.0,954284000.0,
Long Term Debt,3880673000.0,2935995000.0,5068807000.0,3635696000.0,
Current Liabilities,642144000.0,880179000.0,906128000.0,910370000.0,
Other Current Liabilities,,,,64120000.0,
Current Deferred Liabilities,164887000.0,134053000.0,272248000.0,107275000.0,
Current Deferred Revenue,164887000.0,134053000.0,272248000.0,107275000.0,
Current Debt And Capital Lease Obligation,316240000.0,554752000.0,443217000.0,381334000.0,
Current Debt,316240000.0,554752000.0,443217000.0,381334000.0,
Line Of Credit,316240000.0,554752000.0,443217000.0,381334000.0,
Payables And Accrued Expenses,161017000.0,191374000.0,190663000.0,357641000.0,
Current Accrued Expenses,16527000.0,17930000.0,14227000.0,12698000.0,
Interest Payable,16527000.0,17930000.0,14227000.0,12698000.0,
Payables,144490000.0,173444000.0,176436000.0,344943000.0,
Dividends Payable,21816000.0,20280000.0,21569000.0,187372000.0,
Accounts Payable,122674000.0,153164000.0,154867000.0,157571000.0,
Total Assets,10470099000.0,9531181000.0,12355794000.0,11066629000.0,
Total Non Current Assets,9069206000.0,8875980000.0,11640764000.0,10228701000.0,
Other Non Current Assets,429845000.0,408892000.0,333459000.0,245762000.0,
Non Current Deferred Assets,117132000.0,111463000.0,121157000.0,124495000.0,
Investments And Advances,2993864000.0,3330058000.0,3813417000.0,4086657000.0,
Investmentin Financial Assets,303726000.0,346745000.0,623280000.0,1088723000.0,
Held To Maturity Securities,167006000.0,218745000.0,503422000.0,1088723000.0,
Available For Sale Securities,136720000.0,128000000.0,119858000.0,1088723000.0,
Long Term Equity Investment,2690138000.0,2983313000.0,3190137000.0,2997934000.0,
Investmentsin Joint Venturesat Cost,2690138000.0,2983313000.0,3190137000.0,2997934000.0,
Investment Properties,4481660000.0,4134860000.0,7159245000.0,5754708000.0,
Goodwill And Other Intangible Assets,181066000.0,4778000.0,213486000.0,17079000.0,
Other Intangible Assets,181066000.0,4778000.0,213486000.0,17079000.0,
Net PPE,865639000.0,885929000.0,,,
Gross PPE,865639000.0,885929000.0,,,
Other Properties,865639000.0,885929000.0,,,
Current Assets,1400893000.0,655201000.0,715030000.0,837928000.0,
Assets Held For Sale Current,,,0.0,140855000.0,0.0
Restricted Cash,147344000.0,113696000.0,180781000.0,85567000.0,
Receivables,1046443000.0,310091000.0,319736000.0,325337000.0,
Duefrom Related Parties Current,26865000.0,12168000.0,27352000.0,29408000.0,
Loans Receivable,709095000.0,0.0,,,
Accounts Receivable,310483000.0,297923000.0,292384000.0,295929000.0,
Cash Cash Equivalents And Short Term Investments,207106000.0,231414000.0,214513000.0,286169000.0,
Other Short Term Investments,22812000.0,9591000.0,11240000.0,34752000.0,
Cash And Cash Equivalents,184294000.0,221823000.0,203273000.0,251417000.0,
