,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-73276923.076923,-134447513.812155,-84630000.0,-14742000.0,
Tax Rate For Calcs,0.169231,0.285451,0.21,0.182,
Normalized EBITDA,791000000.0,545000000.0,1091000000.0,1422000000.0,
Total Unusual Items,-433000000.0,-471000000.0,-403000000.0,-81000000.0,
Total Unusual Items Excluding Goodwill,-433000000.0,-471000000.0,-403000000.0,-81000000.0,
Net Income From Continuing Operation Net Minority Interest,-216000000.0,-388000000.0,197000000.0,622000000.0,
Reconciled Depreciation,323000000.0,334000000.0,296000000.0,325000000.0,
Reconciled Cost Of Revenue,5034000000.0,5780000000.0,6625000000.0,7226000000.0,
EBITDA,358000000.0,74000000.0,688000000.0,1341000000.0,
EBIT,35000000.0,-260000000.0,392000000.0,1016000000.0,
Net Interest Income,-295000000.0,-283000000.0,-235000000.0,-256000000.0,
Interest Expense,295000000.0,283000000.0,235000000.0,256000000.0,
Normalized Income,143723076.923077,-51447513.812155,515370000.0,688258000.0,
Net Income From Continuing And Discontinued Operation,-216000000.0,-388000000.0,197000000.0,622000000.0,
Total Expenses,7104000000.0,7768000000.0,8656000000.0,9500000000.0,
Total Operating Income As Reported,67000000.0,-85000000.0,312000000.0,1013000000.0,
Diluted Average Shares,415500000.0,414100000.0,417400000.0,428000000.0,
Basic Average Shares,415500000.0,414100000.0,415700000.0,425300000.0,
Diluted EPS,-0.52,-0.94,0.47,1.34,
Basic EPS,-0.52,-0.94,0.47,1.34,
Diluted NI Availto Com Stockholders,-216000000.0,-388000000.0,197000000.0,622000000.0,
Net Income Common Stockholders,-216000000.0,-388000000.0,197000000.0,622000000.0,
Net Income,-216000000.0,-388000000.0,197000000.0,622000000.0,
Net Income Including Noncontrolling Interests,-216000000.0,-388000000.0,197000000.0,622000000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,-216000000.0,-388000000.0,197000000.0,622000000.0,
Tax Provision,-44000000.0,-155000000.0,-40000000.0,138000000.0,
Pretax Income,-260000000.0,-543000000.0,157000000.0,760000000.0,
Other Income Expense,-443000000.0,-625000000.0,-411000000.0,-73000000.0,
Other Non Operating Income Expenses,-10000000.0,-154000000.0,-8000000.0,8000000.0,
Special Income Charges,-425000000.0,-449000000.0,-356000000.0,-81000000.0,
Gain On Sale Of Business,,1000000.0,136000000.0,4000000.0,-9000000.0
Other Special Charges,14000000.0,126000000.0,1000000.0,5000000.0,
Impairment Of Capital Assets,345000000.0,342000000.0,474000000.0,60000000.0,
Restructuring And Mergern Acquisition,66000000.0,108000000.0,17000000.0,16000000.0,
Gain On Sale Of Security,-8000000.0,-22000000.0,-47000000.0,-8000000.0,
Net Non Operating Interest Income Expense,-295000000.0,-283000000.0,-235000000.0,-256000000.0,
Interest Expense Non Operating,295000000.0,283000000.0,235000000.0,256000000.0,
Operating Income,478000000.0,365000000.0,803000000.0,1089000000.0,
Operating Expense,2070000000.0,1988000000.0,2031000000.0,2274000000.0,
Selling General And Administration,2070000000.0,1988000000.0,2031000000.0,2274000000.0,
Selling And Marketing Expense,417000000.0,371000000.0,387000000.0,,
General And Administrative Expense,1653000000.0,1617000000.0,1644000000.0,,
Other Gand A,1653000000.0,1617000000.0,1644000000.0,,
Gross Profit,2548000000.0,2353000000.0,2834000000.0,3363000000.0,
Cost Of Revenue,5034000000.0,5780000000.0,6625000000.0,7226000000.0,
Total Revenue,7582000000.0,8133000000.0,9459000000.0,10589000000.0,
Operating Revenue,7582000000.0,8133000000.0,9459000000.0,10589000000.0,
