,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,352541826.0,350137826.0,349009147.0,349903253.0,
Share Issued,352541826.0,350137826.0,349009147.0,349903253.0,
Net Debt,2066203000.0,3115423000.0,3620664000.0,2814814000.0,
Total Debt,2551414000.0,3600640000.0,4300515000.0,3742469000.0,
Tangible Book Value,-1490624000.0,-1199859000.0,-1966336000.0,-1650772000.0,
Invested Capital,2315067000.0,3719993000.0,4257341000.0,4053584000.0,
Working Capital,466836000.0,885647000.0,1341124000.0,1201050000.0,
Net Tangible Assets,-1490624000.0,-1199859000.0,-1966336000.0,-1650772000.0,
Capital Lease Obligations,270357000.0,300000000.0,441438000.0,391378000.0,
Common Stock Equity,34010000.0,419353000.0,398264000.0,702493000.0,
Total Capitalization,2220067000.0,3654993000.0,4010341000.0,4028584000.0,
Total Equity Gross Minority Interest,34010000.0,419353000.0,398264000.0,702493000.0,
Stockholders Equity,34010000.0,419353000.0,398264000.0,702493000.0,
Gains Losses Not Affecting Retained Earnings,-577222000.0,-492311000.0,-512008000.0,-551603000.0,
Other Equity Adjustments,-577222000.0,-492311000.0,-512008000.0,-551603000.0,
Retained Earnings,234494000.0,554796000.0,572106000.0,935260000.0,
Additional Paid In Capital,373213000.0,353367000.0,334676000.0,315337000.0,
Capital Stock,3525000.0,3501000.0,3490000.0,3499000.0,
Common Stock,3525000.0,3501000.0,3490000.0,3499000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,3806931000.0,5220961000.0,6105612000.0,6368943000.0,
Total Non Current Liabilities Net Minority Interest,2558391000.0,3830393000.0,4314982000.0,4041890000.0,
Other Non Current Liabilities,67452000.0,121150000.0,260094000.0,185429000.0,
Liabilities Heldfor Sale Non Current,32587000.0,139980000.0,,0.0,112989000.0
Employee Benefits,66171000.0,98170000.0,116167000.0,248518000.0,
Non Current Pension And Other Postretirement Benefit Plans,66171000.0,98170000.0,116167000.0,248518000.0,
Long Term Debt And Capital Lease Obligation,2392181000.0,3471093000.0,3938721000.0,3607943000.0,
Long Term Capital Lease Obligation,206124000.0,235453000.0,326644000.0,281852000.0,
Long Term Debt,2186057000.0,3235640000.0,3612077000.0,3326091000.0,
Current Liabilities,1248540000.0,1390568000.0,1790630000.0,2327053000.0,
Other Current Liabilities,42990000.0,312087000.0,13327000.0,316902000.0,
Current Debt And Capital Lease Obligation,159233000.0,129547000.0,361794000.0,134526000.0,
Current Capital Lease Obligation,64233000.0,64547000.0,114794000.0,109526000.0,
Current Debt,95000000.0,65000000.0,247000000.0,25000000.0,
Other Current Borrowings,,59000000.0,37500000.0,25000000.0,263936000.0
Line Of Credit,95000000.0,6000000.0,209500000.0,0.0,
Current Notes Payable,,,,,784000.0
Payables And Accrued Expenses,1046317000.0,948934000.0,1415509000.0,1875625000.0,
Current Accrued Expenses,452940000.0,410152000.0,498028000.0,660778000.0,
Payables,593377000.0,538782000.0,917481000.0,1214847000.0,
Accounts Payable,593377000.0,538782000.0,917481000.0,1214847000.0,
Total Assets,3840941000.0,5640314000.0,6503876000.0,7071436000.0,
Total Non Current Assets,2125565000.0,3364099000.0,3372122000.0,3543333000.0,
Other Non Current Assets,176322000.0,1101925000.0,130062000.0,57009000.0,
Non Current Deferred Assets,13591000.0,18176000.0,20162000.0,327804000.0,
Non Current Deferred Taxes Assets,13591000.0,18176000.0,20162000.0,327804000.0,
Goodwill And Other Intangible Assets,1524634000.0,1619212000.0,2364600000.0,2353265000.0,
Other Intangible Assets,886264000.0,959851000.0,1255693000.0,1220170000.0,
Goodwill,638370000.0,659361000.0,1108907000.0,1133095000.0,
Net PPE,411018000.0,624786000.0,857298000.0,805255000.0,
Accumulated Depreciation,-680002000.0,-869280000.0,-1059572000.0,-1056468000.0,
Gross PPE,1091020000.0,1494066000.0,1916870000.0,1861723000.0,
Construction In Progress,17306000.0,42318000.0,50895000.0,42375000.0,
Other Properties,222759000.0,271751000.0,414894000.0,363854000.0,
Machinery Furniture Equipment,681885000.0,839028000.0,994829000.0,998891000.0,
Buildings And Improvements,160646000.0,319159000.0,430043000.0,430235000.0,
Land And Improvements,8424000.0,21810000.0,26209000.0,26368000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,1715376000.0,2276215000.0,3131754000.0,3528103000.0,
Other Current Assets,152853000.0,113281000.0,178946000.0,186503000.0,
Assets Held For Sale Current,100430000.0,597605000.0,13327000.0,327157000.0,
Inventory,871044000.0,956430000.0,1979672000.0,1584015000.0,
Finished Goods,764365000.0,839538000.0,1802489000.0,1405086000.0,
Work In Process,63436000.0,70932000.0,107904000.0,110246000.0,
Raw Materials,43243000.0,45960000.0,69279000.0,68683000.0,
Receivables,376195000.0,423682000.0,721396000.0,894151000.0,
Accounts Receivable,376195000.0,423682000.0,721396000.0,894151000.0,
Allowance For Doubtful Accounts Receivable,-21120000.0,-38158000.0,-52023000.0,-61948000.0,
Gross Accounts Receivable,397315000.0,461840000.0,773419000.0,956099000.0,
Cash Cash Equivalents And Short Term Investments,214854000.0,185217000.0,238413000.0,536277000.0,
Cash And Cash Equivalents,214854000.0,185217000.0,238413000.0,536277000.0,
