,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-162807625.649913,-258991079.393399,-61220430.107527,872578492.935636,
Tax Rate For Calcs,0.266898,0.266726,0.317204,0.217818,
Normalized EBITDA,5943000000.0,6491000000.0,4639000000.0,-2419000000.0,
Total Unusual Items,-610000000.0,-971000000.0,-193000000.0,4006000000.0,
Total Unusual Items Excluding Goodwill,-610000000.0,-971000000.0,-193000000.0,4006000000.0,
Net Income From Continuing Operation Net Minority Interest,846000000.0,822000000.0,127000000.0,-1993000000.0,
Reconciled Depreciation,2245000000.0,2254000000.0,2298000000.0,2335000000.0,
Reconciled Cost Of Revenue,42746000000.0,40978000000.0,39934000000.0,29855000000.0,
EBITDA,5333000000.0,5520000000.0,4446000000.0,1587000000.0,
EBIT,3088000000.0,3266000000.0,2148000000.0,-748000000.0,
Net Interest Income,-1466000000.0,-1554000000.0,-1746000000.0,-1782000000.0,
Interest Expense,1934000000.0,2145000000.0,1962000000.0,1800000000.0,
Interest Income,468000000.0,591000000.0,216000000.0,18000000.0,
Normalized Income,1293192374.350087,1534008920.606601,258779569.892473,-5126421507.064364,
Net Income From Continuing And Discontinued Operation,846000000.0,822000000.0,127000000.0,-1993000000.0,
Total Expenses,50987000000.0,48783000000.0,47171000000.0,34947000000.0,
Rent Expense Supplemental,4545000000.0,4297000000.0,4125000000.0,4044000000.0,
Total Operating Income As Reported,2614000000.0,3034000000.0,1607000000.0,-1059000000.0,
Diluted Average Shares,,719669000.0,655122000.0,644015000.0,483888000.0
Basic Average Shares,,653612000.0,650345000.0,644015000.0,483888000.0
Diluted EPS,,1.21,0.19,-3.09,-18.36
Basic EPS,,1.26,0.2,-3.09,-18.36
Diluted NI Availto Com Stockholders,846000000.0,822000000.0,127000000.0,-1993000000.0,
Net Income Common Stockholders,846000000.0,822000000.0,127000000.0,-1993000000.0,
Net Income,846000000.0,822000000.0,127000000.0,-1993000000.0,
Net Income Including Noncontrolling Interests,846000000.0,822000000.0,127000000.0,-1993000000.0,
Net Income Continuous Operations,846000000.0,822000000.0,127000000.0,-1993000000.0,
Tax Provision,308000000.0,299000000.0,59000000.0,-555000000.0,
Pretax Income,1154000000.0,1121000000.0,186000000.0,-2548000000.0,
Other Income Expense,-604000000.0,-1330000000.0,132000000.0,4299000000.0,
Other Non Operating Income Expenses,6000000.0,-359000000.0,325000000.0,293000000.0,
Special Income Charges,-610000000.0,-971000000.0,-193000000.0,4006000000.0,
Other Special Charges,639000000.0,948000000.0,44000000.0,-4174000000.0,
Impairment Of Capital Assets,-42000000.0,0.0,149000000.0,0.0,
Restructuring And Mergern Acquisition,13000000.0,23000000.0,0.0,168000000.0,
Net Non Operating Interest Income Expense,-1466000000.0,-1554000000.0,-1746000000.0,-1782000000.0,
Interest Expense Non Operating,1934000000.0,2145000000.0,1962000000.0,1800000000.0,
Interest Income Non Operating,468000000.0,591000000.0,216000000.0,18000000.0,
Operating Income,3224000000.0,4005000000.0,1800000000.0,-5065000000.0,
Operating Expense,8241000000.0,7805000000.0,7237000000.0,5092000000.0,
Other Operating Expenses,6429000000.0,6006000000.0,5422000000.0,3994000000.0,
Selling General And Administration,1812000000.0,1799000000.0,1815000000.0,1098000000.0,
Selling And Marketing Expense,1812000000.0,1799000000.0,1815000000.0,1098000000.0,
Gross Profit,11465000000.0,11810000000.0,9037000000.0,27000000.0,
Cost Of Revenue,42746000000.0,40978000000.0,39934000000.0,29855000000.0,
Total Revenue,54211000000.0,52788000000.0,48971000000.0,29882000000.0,
Operating Revenue,50390000000.0,49324000000.0,45801000000.0,27377000000.0,
