,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,41000000.0,40000000.0,40000000.0,40000000.0,
Ordinary Shares Number,159000000.0,159000000.0,158000000.0,157000000.0,
Share Issued,200000000.0,199000000.0,198000000.0,197000000.0,
Net Debt,862000000.0,441000000.0,724000000.0,463000000.0,
Total Debt,2622000000.0,2262000000.0,3555000000.0,2540000000.0,
Tangible Book Value,965000000.0,207000000.0,75000000.0,377000000.0,
Invested Capital,4362000000.0,7234000000.0,9334000000.0,12435000000.0,
Working Capital,1199000000.0,1039000000.0,788000000.0,1620000000.0,
Net Tangible Assets,965000000.0,207000000.0,75000000.0,377000000.0,
Capital Lease Obligations,633000000.0,773000000.0,820000000.0,845000000.0,
Common Stock Equity,2373000000.0,5745000000.0,6599000000.0,10740000000.0,
Total Capitalization,3863000000.0,7234000000.0,8086000000.0,12435000000.0,
Total Equity Gross Minority Interest,2373000000.0,5745000000.0,6599000000.0,10740000000.0,
Stockholders Equity,2373000000.0,5745000000.0,6599000000.0,10740000000.0,
Gains Losses Not Affecting Retained Earnings,22000000.0,-1000000.0,3000000.0,17000000.0,
Other Equity Adjustments,22000000.0,-1000000.0,3000000.0,17000000.0,
Treasury Stock,3934000000.0,3792000000.0,3755000000.0,3702000000.0,
Retained Earnings,-1242000000.0,-19000000.0,1142000000.0,5485000000.0,
Additional Paid In Capital,7525000000.0,9555000000.0,9207000000.0,8938000000.0,
Capital Stock,2000000.0,2000000.0,2000000.0,2000000.0,
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,3930000000.0,4366000000.0,5653000000.0,4477000000.0,
Total Non Current Liabilities Net Minority Interest,2383000000.0,2796000000.0,2880000000.0,3384000000.0,
Other Non Current Liabilities,339000000.0,620000000.0,649000000.0,915000000.0,
Long Term Debt And Capital Lease Obligation,2044000000.0,2176000000.0,2231000000.0,2469000000.0,
Long Term Capital Lease Obligation,554000000.0,687000000.0,744000000.0,774000000.0,
Long Term Debt,1490000000.0,1489000000.0,1487000000.0,1695000000.0,
Current Liabilities,1547000000.0,1570000000.0,2773000000.0,1093000000.0,
Current Deferred Liabilities,260000000.0,252000000.0,245000000.0,234000000.0,
Current Deferred Revenue,260000000.0,252000000.0,245000000.0,234000000.0,
Current Debt And Capital Lease Obligation,578000000.0,86000000.0,1324000000.0,71000000.0,
Current Capital Lease Obligation,79000000.0,86000000.0,76000000.0,71000000.0,
Current Debt,499000000.0,,1248000000.0,,511000000.0
Other Current Borrowings,499000000.0,,1248000000.0,,511000000.0
Current Notes Payable,,,500000000.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,252000000.0,223000000.0,188000000.0,241000000.0,
Payables And Accrued Expenses,457000000.0,1009000000.0,1016000000.0,547000000.0,
Current Accrued Expenses,135000000.0,685000000.0,626000000.0,117000000.0,
Payables,322000000.0,324000000.0,390000000.0,430000000.0,
Total Tax Payable,101000000.0,79000000.0,97000000.0,98000000.0,
Accounts Payable,221000000.0,245000000.0,293000000.0,332000000.0,
Total Assets,6303000000.0,10111000000.0,12252000000.0,15217000000.0,
Total Non Current Assets,3557000000.0,7502000000.0,8691000000.0,12504000000.0,
Other Non Current Assets,348000000.0,357000000.0,423000000.0,445000000.0,
Non Current Deferred Assets,567000000.0,56000000.0,,,20000000.0
Non Current Deferred Taxes Assets,567000000.0,56000000.0,,,20000000.0
Goodwill And Other Intangible Assets,1408000000.0,5538000000.0,6524000000.0,10363000000.0,
Other Intangible Assets,295000000.0,2993000000.0,3285000000.0,3250000000.0,
Goodwill,1113000000.0,2545000000.0,3239000000.0,7113000000.0,
Net PPE,1234000000.0,1551000000.0,1744000000.0,1696000000.0,
Accumulated Depreciation,-1254000000.0,-1138000000.0,-962000000.0,-796000000.0,
Gross PPE,2488000000.0,2689000000.0,2706000000.0,2492000000.0,
Leases,772000000.0,803000000.0,759000000.0,724000000.0,
Construction In Progress,39000000.0,96000000.0,132000000.0,113000000.0,
Other Properties,419000000.0,544000000.0,653000000.0,672000000.0,
Machinery Furniture Equipment,1214000000.0,1202000000.0,1118000000.0,939000000.0,
Buildings And Improvements,44000000.0,44000000.0,44000000.0,44000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2746000000.0,2609000000.0,3561000000.0,2713000000.0,
Other Current Assets,244000000.0,234000000.0,285000000.0,295000000.0,
Prepaid Assets,,,,295000000.0,152000000.0
Inventory,547000000.0,587000000.0,568000000.0,431000000.0,
Inventories Adjustments Allowances,-113000000.0,-121000000.0,-93000000.0,-78000000.0,
Finished Goods,31000000.0,30000000.0,28000000.0,32000000.0,
Work In Process,404000000.0,402000000.0,386000000.0,333000000.0,
Raw Materials,225000000.0,276000000.0,247000000.0,144000000.0,
Receivables,735000000.0,734000000.0,671000000.0,648000000.0,
Accounts Receivable,735000000.0,734000000.0,671000000.0,648000000.0,
Allowance For Doubtful Accounts Receivable,-9000000.0,-7000000.0,-4000000.0,-3000000.0,
Gross Accounts Receivable,744000000.0,741000000.0,675000000.0,651000000.0,
Cash Cash Equivalents And Short Term Investments,1220000000.0,1054000000.0,2037000000.0,1339000000.0,
Other Short Term Investments,93000000.0,6000000.0,26000000.0,107000000.0,
Cash And Cash Equivalents,1127000000.0,1048000000.0,2011000000.0,1232000000.0,
