,2023-12-31,2022-12-31
Free Cash Flow,50259000.0,17209000.0
Repayment Of Debt,-77417000.0,-6500000.0
Issuance Of Debt,150000000.0,0.0
Capital Expenditure,-2783000.0,-3291000.0
Interest Paid Supplemental Data,5914000.0,3202000.0
Income Tax Paid Supplemental Data,213000.0,8497000.0
End Cash Position,37823000.0,25351000.0
Beginning Cash Position,25351000.0,13254000.0
Changes In Cash,12472000.0,12097000.0
Financing Cash Flow,-37798000.0,3269000.0
Cash Flow From Continuing Financing Activities,-37798000.0,3269000.0
Net Other Financing Charges,-5216000.0,10904000.0
Cash Dividends Paid,-105165000.0,-1135000.0
Common Stock Dividend Paid,-105165000.0,-1135000.0
Net Issuance Payments Of Debt,72583000.0,-6500000.0
Net Long Term Debt Issuance,72583000.0,-6500000.0
Long Term Debt Payments,-77417000.0,-6500000.0
Long Term Debt Issuance,150000000.0,0.0
Investing Cash Flow,-2772000.0,-11672000.0
Cash Flow From Continuing Investing Activities,-2772000.0,-11672000.0
Net Other Investing Changes,11000.0,
Net Business Purchase And Sale,0.0,-8381000.0
Purchase Of Business,0.0,-8381000.0
Capital Expenditure Reported,-2783000.0,-3291000.0
Operating Cash Flow,53042000.0,20500000.0
Cash Flow From Continuing Operating Activities,53042000.0,20500000.0
Change In Working Capital,-1804000.0,-16257000.0
Change In Other Working Capital,-989000.0,308000.0
Change In Payables And Accrued Expense,1229000.0,-10662000.0
Change In Accrued Expense,803000.0,-1318000.0
Change In Payable,426000.0,-9344000.0
Change In Account Payable,362000.0,-1584000.0
Change In Tax Payable,173000.0,-8334000.0
Change In Income Tax Payable,173000.0,-8334000.0
Change In Prepaid Assets,43000.0,440000.0
Change In Receivables,-2087000.0,-6343000.0
Changes In Account Receivables,-1474000.0,-5942000.0
Other Non Cash Items,388000.0,
Stock Based Compensation,-17230000.0,36360000.0
Asset Impairment Charge,-7000.0,38000.0
Depreciation Amortization Depletion,8762000.0,6720000.0
Depreciation And Amortization,8762000.0,6720000.0
Depreciation,8762000.0,6720000.0
Operating Gains Losses,-239000.0,
Net Income From Continuing Operations,63172000.0,-6361000.0
