,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,50279250.0,0.0,0.0,124039620.0,
Tax Rate For Calcs,0.21,0.0,0.0,0.27,
Normalized EBITDA,170181000.0,240957000.0,335741000.0,321899000.0,
Total Unusual Items,239425000.0,-447341000.0,-99456000.0,459406000.0,
Total Unusual Items Excluding Goodwill,239425000.0,-447341000.0,-99456000.0,459406000.0,
Net Income From Continuing Operation Net Minority Interest,30653000.0,-557304000.0,-71631000.0,457059000.0,
Reconciled Depreciation,214062000.0,255647000.0,223984000.0,228393000.0,
Reconciled Cost Of Revenue,448058000.0,470320000.0,423271000.0,352337000.0,
EBITDA,409606000.0,-206384000.0,236285000.0,781305000.0,
EBIT,195544000.0,-462031000.0,12301000.0,552912000.0,
Net Interest Income,-168473000.0,-144951000.0,-97290000.0,-82315000.0,
Interest Expense,165322000.0,137306000.0,88604000.0,72280000.0,
Interest Income,3962000.0,3034000.0,986000.0,1389000.0,
Normalized Income,-158492750.0,-109963000.0,27825000.0,121692620.0,
Net Income From Continuing And Discontinued Operation,30653000.0,-557304000.0,-71631000.0,457059000.0,
Total Expenses,747307000.0,844246000.0,741053000.0,702367000.0,
Rent Expense Supplemental,24423000.0,27292000.0,26943000.0,26554000.0,
Diluted Average Shares,,67972000.0,67929000.0,70769000.0,77243000.0
Basic Average Shares,,63809000.0,63917000.0,69727000.0,72772999.0
Diluted EPS,,-9.12,-1.49,6.5,4.87
Basic EPS,,-9.12,-1.49,6.57,4.88
Diluted NI Availto Com Stockholders,5161000.0,-619629000.0,-101037000.0,459902000.0,
Average Dilution Earnings,0.0,-37465000.0,-5794000.0,27688000.0,
Net Income Common Stockholders,5161000.0,-582164000.0,-95243000.0,432214000.0,
Otherunder Preferred Stock Dividend,1899000.0,2655000.0,2219000.0,2590000.0,
Preferred Stock Dividends,23593000.0,22205000.0,21393000.0,22255000.0,
Net Income,30653000.0,-557304000.0,-71631000.0,457059000.0,
Minority Interests,431000.0,42033000.0,4672000.0,-23573000.0,
Net Income Including Noncontrolling Interests,30222000.0,-599337000.0,-76303000.0,480632000.0,
Net Income Continuous Operations,30222000.0,-599337000.0,-76303000.0,480632000.0,
Pretax Income,30222000.0,-599337000.0,-76303000.0,480632000.0,
Other Income Expense,59730000.0,-523850000.0,-157414000.0,404004000.0,
Special Income Charges,236400000.0,-414971000.0,-14971000.0,171989000.0,
Gain On Sale Of Business,208144000.0,-13368000.0,-131000.0,-32757000.0,
Other Special Charges,-43762000.0,870000.0,,1551000.0,
Impairment Of Capital Assets,104071000.0,382374000.0,6313000.0,23794000.0,
Restructuring And Mergern Acquisition,-88565000.0,18359000.0,8527000.0,-206297000.0,
Earnings From Equity Interest,-179695000.0,-76509000.0,-57958000.0,-55402000.0,
Gain On Sale Of Security,3025000.0,-32370000.0,-84485000.0,287417000.0,
Net Non Operating Interest Income Expense,-168473000.0,-144951000.0,-97290000.0,-82315000.0,
Total Other Finance Cost,7113000.0,10679000.0,9672000.0,11424000.0,
Interest Expense Non Operating,165322000.0,137306000.0,88604000.0,72280000.0,
Interest Income Non Operating,3962000.0,3034000.0,986000.0,1389000.0,
Operating Income,138965000.0,69464000.0,178401000.0,158943000.0,
Operating Expense,292630000.0,366089000.0,309965000.0,338606000.0,
Other Operating Expenses,,6890000.0,6313000.0,26725000.0,35298000.0
Depreciation Amortization Depletion Income Statement,207443000.0,247810000.0,216167000.0,216969000.0,
Depreciation And Amortization In Income Statement,207443000.0,247810000.0,216167000.0,216969000.0,
Selling General And Administration,85187000.0,111389000.0,93798000.0,94912000.0,
Gross Profit,431595000.0,435553000.0,488366000.0,497549000.0,
Cost Of Revenue,454677000.0,478157000.0,431088000.0,363761000.0,
Total Revenue,886272000.0,913710000.0,919454000.0,861310000.0,
Operating Revenue,782546000.0,836300000.0,841661000.0,774827000.0,
