,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,9000000.0,60000000.0,60000000.0,55000000.0,
Ordinary Shares Number,55139707.0,54853011.0,54000000.0,59000000.0,
Share Issued,64139707.0,114853011.0,114000000.0,114000000.0,
Net Debt,5351000000.0,5661000000.0,5657000000.0,2193000000.0,
Total Debt,7337000000.0,7843000000.0,8199000000.0,6031000000.0,
Tangible Book Value,-3357000000.0,-4092000000.0,-4142000000.0,380000000.0,
Invested Capital,9309000000.0,9593000000.0,9951000000.0,10083000000.0,
Working Capital,-2084000000.0,-741000000.0,463000000.0,1185000000.0,
Net Tangible Assets,-3357000000.0,-4092000000.0,-4142000000.0,380000000.0,
Capital Lease Obligations,711000000.0,612000000.0,584000000.0,794000000.0,
Common Stock Equity,2683000000.0,2362000000.0,2336000000.0,4846000000.0,
Total Capitalization,7441000000.0,8776000000.0,9699000000.0,9775000000.0,
Total Equity Gross Minority Interest,2933000000.0,2537000000.0,2506000000.0,5013000000.0,
Minority Interest,250000000.0,175000000.0,170000000.0,167000000.0,
Stockholders Equity,2683000000.0,2362000000.0,2336000000.0,4846000000.0,
Gains Losses Not Affecting Retained Earnings,-1545000000.0,-2178000000.0,-2090000000.0,-2357000000.0,
Other Equity Adjustments,-1545000000.0,-2178000000.0,-2090000000.0,-2357000000.0,
Treasury Stock,609000000.0,7010000000.0,7010000000.0,6106000000.0,
Retained Earnings,1311000000.0,8358000000.0,8261000000.0,10170000000.0,
Additional Paid In Capital,3462000000.0,3078000000.0,3061000000.0,3025000000.0,
Capital Stock,64000000.0,114000000.0,114000000.0,114000000.0,
Common Stock,64000000.0,114000000.0,114000000.0,114000000.0,
Total Liabilities Net Minority Interest,13370000000.0,14775000000.0,14618000000.0,15272000000.0,
Total Non Current Liabilities Net Minority Interest,6047000000.0,7827000000.0,8687000000.0,6762000000.0,
Other Non Current Liabilities,360000000.0,547000000.0,460000000.0,519000000.0,
Employee Benefits,218000000.0,254000000.0,280000000.0,520000000.0,
Non Current Pension And Other Postretirement Benefit Plans,218000000.0,254000000.0,280000000.0,520000000.0,
Long Term Debt And Capital Lease Obligation,5469000000.0,7026000000.0,7947000000.0,5723000000.0,
Long Term Capital Lease Obligation,711000000.0,612000000.0,584000000.0,794000000.0,
Long Term Debt,4758000000.0,6414000000.0,7363000000.0,4929000000.0,
Current Liabilities,7323000000.0,6948000000.0,5931000000.0,8510000000.0,
Other Current Liabilities,560000000.0,1201000000.0,1040000000.0,750000000.0,
Current Debt And Capital Lease Obligation,1868000000.0,817000000.0,252000000.0,308000000.0,
Current Debt,1868000000.0,817000000.0,252000000.0,308000000.0,
Other Current Borrowings,1850000000.0,800000000.0,248000000.0,298000000.0,
Line Of Credit,,,4000000.0,10000000.0,
Current Notes Payable,18000000.0,17000000.0,4000000.0,10000000.0,
Pensionand Other Post Retirement Benefit Plans Current,228000000.0,238000000.0,159000000.0,576000000.0,
Payables And Accrued Expenses,4667000000.0,4692000000.0,4480000000.0,6876000000.0,
Current Accrued Expenses,1137000000.0,1094000000.0,1104000000.0,1463000000.0,
Payables,3530000000.0,3598000000.0,3376000000.0,5413000000.0,
Accounts Payable,3530000000.0,3598000000.0,3376000000.0,5413000000.0,
Total Assets,16303000000.0,17312000000.0,17124000000.0,20285000000.0,
Total Non Current Assets,11064000000.0,11105000000.0,10730000000.0,10590000000.0,
Other Non Current Assets,474000000.0,379000000.0,396000000.0,453000000.0,
Non Current Deferred Assets,1433000000.0,1317000000.0,1063000000.0,1920000000.0,
Non Current Deferred Taxes Assets,1433000000.0,1317000000.0,1063000000.0,1920000000.0,
Goodwill And Other Intangible Assets,6040000000.0,6454000000.0,6478000000.0,4466000000.0,
Other Intangible Assets,2718000000.0,3124000000.0,3164000000.0,1981000000.0,
Goodwill,3322000000.0,3330000000.0,3314000000.0,2485000000.0,
Net PPE,3117000000.0,2955000000.0,2793000000.0,3751000000.0,
Accumulated Depreciation,-5414000000.0,-5259000000.0,-4808000000.0,-6619000000.0,
Gross PPE,8531000000.0,8214000000.0,7601000000.0,10370000000.0,
Other Properties,841000000.0,721000000.0,691000000.0,946000000.0,
Machinery Furniture Equipment,6673000000.0,6571000000.0,6016000000.0,8091000000.0,
Buildings And Improvements,981000000.0,893000000.0,862000000.0,1249000000.0,
Land And Improvements,36000000.0,29000000.0,32000000.0,84000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,5239000000.0,6207000000.0,6394000000.0,9695000000.0,
Other Current Assets,612000000.0,717000000.0,653000000.0,834000000.0,
Assets Held For Sale Current,0.0,144000000.0,139000000.0,0.0,
Prepaid Assets,,,,834000000.0,795000000.0
Inventory,2035000000.0,2247000000.0,2089000000.0,2717000000.0,
Inventories Adjustments Allowances,,,,,-120000000.0
Finished Goods,1463000000.0,1732000000.0,1580000000.0,1958000000.0,
Raw Materials,572000000.0,515000000.0,509000000.0,759000000.0,
Receivables,1317000000.0,1529000000.0,1555000000.0,3100000000.0,
Accounts Receivable,1317000000.0,1529000000.0,1555000000.0,3100000000.0,
Allowance For Doubtful Accounts Receivable,-46000000.0,-47000000.0,-49000000.0,-98000000.0,
Gross Accounts Receivable,1363000000.0,1576000000.0,1604000000.0,3198000000.0,
Cash Cash Equivalents And Short Term Investments,1275000000.0,1570000000.0,1958000000.0,3044000000.0,
Cash And Cash Equivalents,1275000000.0,1570000000.0,1958000000.0,3044000000.0,
