,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,708971000.0,665605000.0,646413000.0,621444000.0,
Repurchase Of Capital Stock,-723899000.0,-576968000.0,-425727000.0,-302774000.0,
Repayment Of Debt,-6091000.0,-6278000.0,-6307000.0,-52764000.0,
Issuance Of Debt,,0.0,0.0,1000000000.0,650000000.0
Capital Expenditure,-43498000.0,-39908000.0,-37199000.0,-30107000.0,
Interest Paid Supplemental Data,9052000.0,9315000.0,9534000.0,6054000.0,
Income Tax Paid Supplemental Data,89579000.0,42676000.0,41679000.0,94160000.0,
End Cash Position,811178000.0,914323000.0,926619000.0,785537000.0,
Beginning Cash Position,914323000.0,926619000.0,785537000.0,1249440000.0,
Effect Of Exchange Rate Changes,-15345000.0,12031000.0,-6022000.0,-10234000.0,
Changes In Cash,-87800000.0,-24327000.0,147104000.0,-453669000.0,
Financing Cash Flow,-787168000.0,-656533000.0,-506484000.0,452749000.0,
Cash Flow From Continuing Financing Activities,-787168000.0,-656533000.0,-506484000.0,452749000.0,
Net Other Financing Charges,-61085000.0,-87515000.0,-89474000.0,-214419000.0,
Proceeds From Stock Option Exercised,3907000.0,14228000.0,15024000.0,22706000.0,
Net Common Stock Issuance,-723899000.0,-576968000.0,-425727000.0,-302774000.0,
Common Stock Payments,-723899000.0,-576968000.0,-425727000.0,-302774000.0,
Net Issuance Payments Of Debt,-6091000.0,-6278000.0,-6307000.0,947236000.0,
Net Long Term Debt Issuance,-6091000.0,-6278000.0,-6307000.0,947236000.0,
Long Term Debt Payments,-6091000.0,-6278000.0,-6307000.0,-52764000.0,
Long Term Debt Issuance,,0.0,0.0,1000000000.0,650000000.0
Investing Cash Flow,-53101000.0,-73307000.0,-30024000.0,-1557969000.0,
Cash Flow From Continuing Investing Activities,-53101000.0,-73307000.0,-30024000.0,-1557969000.0,
Net Other Investing Changes,,,-6456000.0,-1937000.0,-880000.0
Net Investment Purchase And Sale,-9603000.0,-33399000.0,7175000.0,172112000.0,
Sale Of Investment,321160000.0,309451000.0,277520000.0,590630000.0,
Purchase Of Investment,-330763000.0,-342850000.0,-270345000.0,-418518000.0,
Net Business Purchase And Sale,,0.0,0.0,-1699974000.0,0.0
Purchase Of Business,,0.0,0.0,-1699974000.0,0.0
Net Intangibles Purchase And Sale,-29290000.0,-26970000.0,-26962000.0,-1937000.0,
Purchase Of Intangibles,-29290000.0,-26970000.0,-26962000.0,-1937000.0,
Net PPE Purchase And Sale,-14208000.0,-12938000.0,-10237000.0,-28170000.0,
Purchase Of PPE,-14208000.0,-12938000.0,-10237000.0,-28170000.0,
Operating Cash Flow,752469000.0,705513000.0,683612000.0,651551000.0,
Cash Flow From Continuing Operating Activities,752469000.0,705513000.0,683612000.0,651551000.0,
Change In Working Capital,79724000.0,-23704000.0,40466000.0,23883000.0,
Change In Other Working Capital,4945000.0,457000.0,1905000.0,1441000.0,
Change In Other Current Liabilities,2541000.0,4783000.0,14416000.0,40423000.0,
Change In Other Current Assets,-1381000.0,-2409000.0,7390000.0,-25159000.0,
Change In Payables And Accrued Expense,-38364000.0,66349000.0,27541000.0,154561000.0,
Change In Accrued Expense,34240000.0,34439000.0,6439000.0,84789000.0,
Change In Payable,-72604000.0,31910000.0,21102000.0,69772000.0,
Change In Account Payable,-72604000.0,31910000.0,21102000.0,69772000.0,
Change In Prepaid Assets,39317000.0,-47490000.0,23840000.0,-44186000.0,
Change In Receivables,72666000.0,-45394000.0,-34626000.0,-103197000.0,
Changes In Account Receivables,72666000.0,-45394000.0,-34626000.0,-103197000.0,
Other Non Cash Items,-18962000.0,5499000.0,7661000.0,6976000.0,
Stock Based Compensation,282847000.0,284558000.0,230888000.0,139910000.0,
Provisionand Write Offof Assets,11950000.0,19634000.0,12464000.0,16031000.0,
Asset Impairment Charge,0.0,68091000.0,1045022000.0,0.0,
Deferred Tax,-14445000.0,-50086000.0,-55303000.0,-88952000.0,
Deferred Income Tax,-14445000.0,-50086000.0,-55303000.0,-88952000.0,
Depreciation Amortization Depletion,108074000.0,91323000.0,96702000.0,74267000.0,
Depreciation And Amortization,108074000.0,91323000.0,96702000.0,74267000.0,
Operating Gains Losses,,2630000.0,1238000.0,-14071000.0,24204000.0
Net Foreign Currency Exchange Gain Loss,,7400000.0,1238000.0,-14071000.0,7349000.0
Gain Loss On Sale Of Business,0.0,2630000.0,0.0,0.0,
Net Income From Continuing Operations,303281000.0,307568000.0,-694288000.0,493507000.0,
