,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-300930000.0,-177870000.0,-951930000.0,134274000.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.138,
Normalized EBITDA,708000000.0,239000000.0,617000000.0,223000000.0,
Total Unusual Items,-1433000000.0,-847000000.0,-4533000000.0,973000000.0,
Total Unusual Items Excluding Goodwill,-1433000000.0,-847000000.0,-4533000000.0,973000000.0,
Net Income From Continuing Operation Net Minority Interest,-1223000000.0,-1161000000.0,-4404000000.0,762000000.0,
Reconciled Depreciation,354000000.0,432000000.0,394000000.0,251000000.0,
Reconciled Cost Of Revenue,1511000000.0,1760000000.0,1612000000.0,1372000000.0,
EBITDA,-725000000.0,-608000000.0,-3916000000.0,1196000000.0,
EBIT,-1079000000.0,-1040000000.0,-4310000000.0,945000000.0,
Net Interest Income,-54000000.0,-19000000.0,-15000000.0,-61000000.0,
Interest Expense,100000000.0,77000000.0,26000000.0,61000000.0,
Interest Income,46000000.0,58000000.0,11000000.0,0.0,
Normalized Income,-90930000.0,-491870000.0,-822930000.0,-76726000.0,
Net Income From Continuing And Discontinued Operation,-1223000000.0,-1161000000.0,-4404000000.0,762000000.0,
Total Expenses,3772000000.0,4726000000.0,4230000000.0,4649000000.0,
Total Operating Income As Reported,-833000000.0,-1069000000.0,-4179000000.0,-123000000.0,
Diluted Average Shares,159000000.0,158000000.0,157000000.0,151000000.0,
Basic Average Shares,159000000.0,158000000.0,157000000.0,150000000.0,
Diluted EPS,-7.69,-7.34,-28.0,5.04,
Basic EPS,-7.69,-7.34,-28.0,5.07,
Diluted NI Availto Com Stockholders,-1223000000.0,-1161000000.0,-4404000000.0,762000000.0,
Net Income Common Stockholders,-1223000000.0,-1161000000.0,-4404000000.0,762000000.0,
Net Income,-1223000000.0,-1161000000.0,-4404000000.0,762000000.0,
Minority Interests,,,,0.0,0.0
Net Income Including Noncontrolling Interests,-1223000000.0,-1161000000.0,-4404000000.0,762000000.0,
Net Income Continuous Operations,-1223000000.0,-1161000000.0,-4404000000.0,762000000.0,
Tax Provision,44000000.0,44000000.0,68000000.0,122000000.0,
Pretax Income,-1179000000.0,-1117000000.0,-4336000000.0,884000000.0,
Other Income Expense,-1725000000.0,-876000000.0,-4675000000.0,1068000000.0,
Other Non Operating Income Expenses,-292000000.0,-29000000.0,-142000000.0,95000000.0,
Special Income Charges,-1433000000.0,-847000000.0,-4533000000.0,0.0,
Gain On Sale Of Business,,,,0.0,0.0
Other Special Charges,-456000000.0,20000000.0,619000000.0,,
Impairment Of Capital Assets,1889000000.0,827000000.0,3914000000.0,0.0,
Restructuring And Mergern Acquisition,,0.0,0.0,-86000000.0,
Gain On Sale Of Security,,-30000000.0,-129000000.0,973000000.0,273000000.0
Net Non Operating Interest Income Expense,-54000000.0,-19000000.0,-15000000.0,-61000000.0,
Interest Expense Non Operating,100000000.0,77000000.0,26000000.0,61000000.0,
Interest Income Non Operating,46000000.0,58000000.0,11000000.0,0.0,
Operating Income,600000000.0,-222000000.0,354000000.0,-123000000.0,
Operating Expense,2261000000.0,2966000000.0,2618000000.0,3277000000.0,
Research And Development,1169000000.0,1354000000.0,1321000000.0,1185000000.0,
Selling General And Administration,1092000000.0,1612000000.0,1297000000.0,2092000000.0,
Gross Profit,2861000000.0,2744000000.0,2972000000.0,3154000000.0,
Cost Of Revenue,1511000000.0,1760000000.0,1612000000.0,1372000000.0,
Total Revenue,4372000000.0,4504000000.0,4584000000.0,4526000000.0,
Operating Revenue,4372000000.0,4504000000.0,4584000000.0,4526000000.0,
