,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,369400000.0,402900000.0,552500000.0,144800000.0,
Repurchase Of Capital Stock,,,,0.0,-4500000.0
Repayment Of Debt,-4610200000.0,-1826200000.0,-2207100000.0,-7487800000.0,
Issuance Of Debt,4282700000.0,1558000000.0,1486000000.0,4508600000.0,
Issuance Of Capital Stock,355900000.0,900000.0,0.0,227200000.0,
Capital Expenditure,-245200000.0,-222800000.0,-174100000.0,-173900000.0,
Interest Paid Supplemental Data,205700000.0,229100000.0,215400000.0,230600000.0,
Income Tax Paid Supplemental Data,172600000.0,58600000.0,97200000.0,15900000.0,
End Cash Position,320600000.0,283800000.0,263800000.0,310400000.0,
Beginning Cash Position,283800000.0,263800000.0,310400000.0,352000000.0,
Effect Of Exchange Rate Changes,-14900000.0,-18200000.0,-8900000.0,-7100000.0,
Changes In Cash,51700000.0,38200000.0,-37700000.0,-34500000.0,
Financing Cash Flow,-336700000.0,-469300000.0,-1034000000.0,-2795100000.0,
Cash Flow From Continuing Financing Activities,-336700000.0,-469300000.0,-1034000000.0,-2795100000.0,
Net Other Financing Charges,-351700000.0,-188300000.0,-255700000.0,-17400000.0,
Cash Dividends Paid,-13400000.0,-13700000.0,-57200000.0,-25700000.0,
Preferred Stock Dividend Paid,,,-57200000.0,-24200000.0,-196900000.0
Common Stock Dividend Paid,,-13700000.0,-57200000.0,-25700000.0,-196900000.0
Net Preferred Stock Issuance,,,0.0,227200000.0,724500000.0
Preferred Stock Issuance,,,0.0,227200000.0,724500000.0
Net Common Stock Issuance,355900000.0,900000.0,0.0,227200000.0,
Common Stock Payments,,,,0.0,-4500000.0
Common Stock Issuance,355900000.0,900000.0,0.0,227200000.0,
Net Issuance Payments Of Debt,-327500000.0,-268200000.0,-721100000.0,-2979200000.0,
Net Short Term Debt Issuance,-215100000.0,-42100000.0,-395200000.0,-833500000.0,
Short Term Debt Payments,-2673700000.0,-1600100000.0,-1338800000.0,-3593300000.0,
Short Term Debt Issuance,2458600000.0,1558000000.0,943600000.0,2759800000.0,
Net Long Term Debt Issuance,-112400000.0,-226100000.0,-325900000.0,-2145700000.0,
Long Term Debt Payments,-1936500000.0,-226100000.0,-868300000.0,-3894500000.0,
Long Term Debt Issuance,1824100000.0,0.0,542400000.0,1748800000.0,
Investing Cash Flow,-226200000.0,-118200000.0,269700000.0,2441900000.0,
Cash Flow From Continuing Investing Activities,-226200000.0,-118200000.0,269700000.0,2441900000.0,
Net Other Investing Changes,19000000.0,104600000.0,213200000.0,4300000.0,
Net Investment Purchase And Sale,,0.0,0.0,-37600000.0,-592200000.0
Purchase Of Investment,,0.0,0.0,-37600000.0,-592200000.0
Net Business Purchase And Sale,0.0,0.0,230600000.0,2649100000.0,
Sale Of Business,0.0,0.0,230600000.0,2849100000.0,
Purchase Of Business,,0.0,0.0,-200000000.0,-592200000.0
Capital Expenditure Reported,-245200000.0,-222800000.0,-174100000.0,-173900000.0,
Operating Cash Flow,614600000.0,625700000.0,726600000.0,318700000.0,
Cash Flow From Continuing Operating Activities,614600000.0,625700000.0,726600000.0,318700000.0,
Change In Working Capital,-187600000.0,-85500000.0,125600000.0,-231900000.0,
Change In Other Working Capital,,,,,-57100000.0
Change In Other Current Liabilities,-72700000.0,-95700000.0,-91300000.0,-151700000.0,
Change In Other Current Assets,-4300000.0,-7500000.0,-6700000.0,40200000.0,
Change In Payables And Accrued Expense,-62300000.0,176400000.0,361800000.0,-75600000.0,
Change In Accrued Expense,34400000.0,-21900000.0,129600000.0,-45800000.0,
Change In Payable,-96700000.0,198300000.0,232200000.0,-29800000.0,
Change In Account Payable,-19400000.0,138400000.0,140500000.0,-49700000.0,
Change In Tax Payable,-77300000.0,59900000.0,91700000.0,19900000.0,
Change In Income Tax Payable,-77300000.0,59900000.0,91700000.0,19900000.0,
Change In Prepaid Assets,-11000000.0,-15200000.0,-12700000.0,-136500000.0,
Change In Inventory,67200000.0,-180300000.0,-48300000.0,81200000.0,
Change In Receivables,-104500000.0,36800000.0,-77200000.0,10500000.0,
Changes In Account Receivables,-104500000.0,36800000.0,-77200000.0,10500000.0,
Other Non Cash Items,108100000.0,72500000.0,99800000.0,135800000.0,
Stock Based Compensation,88800000.0,135900000.0,195500000.0,29900000.0,
Provisionand Write Offof Assets,2700000.0,-18900000.0,20500000.0,-13200000.0,
Asset Impairment Charge,0.0,0.0,31400000.0,0.0,
Deferred Tax,-9800000.0,56300000.0,12100000.0,-218100000.0,
Deferred Income Tax,-9800000.0,56300000.0,12100000.0,-218100000.0,
Depreciation Amortization Depletion,421100000.0,426700000.0,516400000.0,585300000.0,
Depreciation And Amortization,421100000.0,426700000.0,516400000.0,585300000.0,
Amortization Cash Flow,193400000.0,191800000.0,207400000.0,251200000.0,
Amortization Of Intangibles,193400000.0,191800000.0,207400000.0,251200000.0,
Depreciation,227700000.0,235000000.0,309000000.0,334100000.0,
Operating Gains Losses,81900000.0,-484500000.0,-542400000.0,236000000.0,
Pension And Employee Benefit Expense,8600000.0,8500000.0,12700000.0,17800000.0,
Earnings Losses From Equity Investments,,,,-70300000.0,0.0
Gain Loss On Investment Securities,54600000.0,-423200000.0,-416400000.0,-70300000.0,
Net Foreign Currency Exchange Gain Loss,14800000.0,29900000.0,-16800000.0,26700000.0,
Gain Loss On Sale Of PPE,3900000.0,-99700000.0,-115800000.0,15400000.0,
Gain Loss On Sale Of Business,0.0,0.0,-6100000.0,246400000.0,
Net Income From Continuing Operations,109400000.0,523200000.0,267700000.0,-205100000.0,
