,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,,0.0,3672000.0,159803000.0,41990000.0
Tax Rate For Calcs,,0.158,0.153,0.259,0.19
Normalized EBITDA,,4904000000.0,3985000000.0,3345000000.0,2485000000.0
Total Unusual Items,,0.0,24000000.0,617000000.0,221000000.0
Total Unusual Items Excluding Goodwill,,0.0,24000000.0,617000000.0,221000000.0
Net Income From Continuing Operation Net Minority Interest,,3218000000.0,2462000000.0,2144000000.0,1410000000.0
Reconciled Depreciation,,926000000.0,954000000.0,922000000.0,811000000.0
Reconciled Cost Of Revenue,,14762000000.0,13865000000.0,13293000000.0,12408000000.0
EBITDA,,4904000000.0,4009000000.0,3962000000.0,2706000000.0
EBIT,,3978000000.0,3055000000.0,3040000000.0,1895000000.0
Net Interest Income,,-151000000.0,-144000000.0,-144000000.0,-149000000.0
Interest Expense,,151000000.0,144000000.0,144000000.0,149000000.0
Normalized Income,,3218000000.0,2441672000.0,1686803000.0,1230990000.0
Net Income From Continuing And Discontinued Operation,,3218000000.0,2462000000.0,2144000000.0,1410000000.0
Total Expenses,,19311000000.0,17757000000.0,17165000000.0,16034000000.0
Diluted Average Shares,399400000.0,401100000.0,400800000.0,401600000.0,
Basic Average Shares,397600000.0,399100000.0,398700000.0,398700000.0,
Diluted EPS,9.5,8.02,6.14,5.34,
Basic EPS,9.54,8.06,6.17,5.38,
Diluted NI Availto Com Stockholders,,3218000000.0,2462000000.0,2144000000.0,1410000000.0
Net Income Common Stockholders,,3218000000.0,2462000000.0,2144000000.0,1410000000.0
Net Income,,3218000000.0,2462000000.0,2144000000.0,1410000000.0
Minority Interests,,-5000000.0,-4000000.0,-2000000.0,-5000000.0
Net Income Including Noncontrolling Interests,,3223000000.0,2465000000.0,2146000000.0,1415000000.0
Net Income Continuous Operations,,3223000000.0,2466000000.0,2146000000.0,1415000000.0
Tax Provision,,604000000.0,445000000.0,750000000.0,331000000.0
Pretax Income,,3827000000.0,2911000000.0,2896000000.0,1746000000.0
Other Income Expense,,93000000.0,60000000.0,577000000.0,71000000.0
Other Non Operating Income Expenses,,93000000.0,36000000.0,-40000000.0,-150000000.0
Special Income Charges,,0.0,24000000.0,617000000.0,221000000.0
Gain On Sale Of Business,,0.0,24000000.0,617000000.0,221000000.0
Net Non Operating Interest Income Expense,,-151000000.0,-144000000.0,-144000000.0,-149000000.0
Interest Expense Non Operating,,151000000.0,144000000.0,144000000.0,149000000.0
Operating Income,,3885000000.0,2995000000.0,2463000000.0,1824000000.0
Operating Expense,,4549000000.0,3892000000.0,3872000000.0,3626000000.0
Research And Development,,754000000.0,665000000.0,616000000.0,551000000.0
Selling General And Administration,,3795000000.0,3227000000.0,3256000000.0,3075000000.0
Gross Profit,,8434000000.0,6887000000.0,6335000000.0,5450000000.0
Cost Of Revenue,,14762000000.0,13865000000.0,13293000000.0,12408000000.0
Total Revenue,,23196000000.0,20752000000.0,19628000000.0,17858000000.0
Operating Revenue,,23196000000.0,20752000000.0,19628000000.0,17858000000.0
