,2023-01-31,2022-01-31,2021-01-31
Ordinary Shares Number,215000000.0,218200000.0,219600000.0
Share Issued,215000000.0,218200000.0,219600000.0
Net Debt,334000000.0,1100000000.0,
Total Debt,2666000000.0,3061000000.0,2104600000.0
Tangible Book Value,-2887000000.0,-3249000000.0,-1940300000.0
Invested Capital,3426000000.0,3477000000.0,2602700000.0
Working Capital,-659000000.0,-1245000000.0,-629200000.0
Net Tangible Assets,-2887000000.0,-3249000000.0,-1940300000.0
Capital Lease Obligations,385000000.0,433000000.0,467400000.0
Common Stock Equity,1145000000.0,849000000.0,965500000.0
Total Capitalization,3426000000.0,3127000000.0,2602700000.0
Total Equity Gross Minority Interest,1145000000.0,849000000.0,965500000.0
Stockholders Equity,1145000000.0,849000000.0,965500000.0
Gains Losses Not Affecting Retained Earnings,-185000000.0,-124000000.0,-125900000.0
Other Equity Adjustments,-185000000.0,-124000000.0,-125900000.0
Retained Earnings,-1995000000.0,-1950000000.0,-1487500000.0
Capital Stock,3325000000.0,2923000000.0,2578900000.0
Common Stock,3325000000.0,2923000000.0,2578900000.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,8293000000.0,7758000000.0,6314300000.0
Total Non Current Liabilities Net Minority Interest,4293000000.0,3749000000.0,3059600000.0
Other Non Current Liabilities,139000000.0,149000000.0,139800000.0
Tradeand Other Payables Non Current,164000000.0,20000000.0,15900000.0
Non Current Deferred Liabilities,1409000000.0,956000000.0,870700000.0
Non Current Deferred Revenue,1377000000.0,927000000.0,859300000.0
Non Current Deferred Taxes Liabilities,32000000.0,29000000.0,11400000.0
Long Term Debt And Capital Lease Obligation,2581000000.0,2624000000.0,2033200000.0
Long Term Capital Lease Obligation,300000000.0,346000000.0,396000000.0
Long Term Debt,2281000000.0,2278000000.0,1637200000.0
Current Liabilities,4000000000.0,4009000000.0,3254700000.0
Current Deferred Liabilities,3203000000.0,2863000000.0,2500900000.0
Current Deferred Revenue,3203000000.0,2863000000.0,2500900000.0
Current Debt And Capital Lease Obligation,85000000.0,437000000.0,71400000.0
Current Capital Lease Obligation,85000000.0,87000000.0,71400000.0
Current Debt,,350000000.0,
Other Current Borrowings,,350000000.0,
Pensionand Other Post Retirement Benefit Plans Current,358000000.0,341000000.0,322600000.0
Payables And Accrued Expenses,354000000.0,368000000.0,359800000.0
Current Accrued Expenses,219000000.0,217000000.0,194700000.0
Payables,135000000.0,151000000.0,165100000.0
Total Tax Payable,33000000.0,30000000.0,42600000.0
Income Tax Payable,33000000.0,30000000.0,42600000.0
Accounts Payable,102000000.0,121000000.0,122500000.0
Total Assets,9438000000.0,8607000000.0,7279800000.0
Total Non Current Assets,6097000000.0,5843000000.0,4654300000.0
Other Non Current Assets,560000000.0,492000000.0,375900000.0
Non Current Deferred Assets,1014000000.0,741000000.0,763100000.0
Non Current Deferred Taxes Assets,1014000000.0,741000000.0,763100000.0
Investments And Advances,102000000.0,45000000.0,0.0
Other Investments,102000000.0,45000000.0,0.0
Investmentin Financial Assets,102000000.0,45000000.0,0.0
Available For Sale Securities,102000000.0,45000000.0,
Goodwill And Other Intangible Assets,4032000000.0,4098000000.0,2905800000.0
Other Intangible Assets,407000000.0,494000000.0,199300000.0
Goodwill,3625000000.0,3604000000.0,2706500000.0
Net PPE,389000000.0,467000000.0,609500000.0
Accumulated Depreciation,-488000000.0,-474000000.0,-442700000.0
Gross PPE,877000000.0,941000000.0,1052200000.0
Other Properties,245000000.0,305000000.0,416700000.0
Machinery Furniture Equipment,269000000.0,285000000.0,299600000.0
Properties,363000000.0,351000000.0,335900000.0
Current Assets,3341000000.0,2764000000.0,2625500000.0
Other Current Assets,308000000.0,284000000.0,206200000.0
Prepaid Assets,,283600000.0,206200000.0
Receivables,961000000.0,716000000.0,643100000.0
Accounts Receivable,961000000.0,716000000.0,643100000.0
Allowance For Doubtful Accounts Receivable,-85000000.0,-64000000.0,-58200000.0
Gross Accounts Receivable,1046000000.0,780000000.0,701300000.0
Cash Cash Equivalents And Short Term Investments,2072000000.0,1764000000.0,1776200000.0
Other Short Term Investments,125000000.0,236000000.0,4000000.0
Cash And Cash Equivalents,1947000000.0,1528000000.0,1772200000.0
